,,Timothy Michael Kaine,Corey Alan Stewart,Matthew Joseph Waters,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,Libertarian,,,
State,Virginia,1910370,1374313,61565,5509,3351757,0
Locality,Accomack County,5997,6605,135,8,12745,0
Precinct,101 - Chincoteague,487,932,16,0,1435,0
Precinct,201 - Atlantic,159,430,10,0,599,0
Precinct,202 - Greenbackville,277,541,7,1,826,0
Precinct,301 - New Church,515,447,10,0,972,0
Precinct,401 - Bloxom,106,260,4,0,370,0
Precinct,402 - Parksley,236,363,7,0,606,0
Precinct,403 - Saxis,39,117,0,0,156,0
Precinct,501 - Mappsville,299,180,4,1,484,0
Precinct,502 - Rue,312,98,0,1,411,0
Precinct,601 - Accomac,436,495,11,0,942,0
Precinct,602 - Tangier,30,171,2,0,203,0
Precinct,701 - Nandua,755,763,19,3,1540,0
Precinct,801 - Bobtown,214,311,3,1,529,0
Precinct,802 - Melfa,358,308,8,0,674,0
Precinct,803 - Wachapreague,155,285,10,0,450,0
Precinct,901 - Painter,869,492,14,0,1375,0
Precinct,Ab - Central Absentee Precinct,748,412,10,1,1171,0
Precinct,Provisional,2,0,0,0,2,0
Locality,Albemarle County,35701,16371,1161,93,53326,0
Precinct,101 - Woodbrook,1268,591,53,4,1916,0
Precinct,103 - Branchlands,536,170,20,1,727,0
Precinct,104 - Agnor-hurt,1115,343,30,1,1489,0
Precinct,105 - Dunlora,1641,493,51,1,2186,0
Precinct,106 - Northside,1367,798,60,3,2228,0
Precinct,201 - Jack Jouett,1490,718,47,8,2263,0
Precinct,202 - University,1933,308,77,6,2324,0
Precinct,203 - Georgetown,1356,289,56,3,1704,0
Precinct,301 - Ivy,1811,773,52,6,2642,0
Precinct,302 - Red Hill,1203,641,32,1,1877,0
Precinct,304 - East Ivy,425,208,17,2,652,0
Precinct,305 - Country Green,1194,451,31,2,1678,0
Precinct,306 - Porters,601,344,19,1,965,0
Precinct,307 - Yellow Mountain,265,178,10,1,454,0
Precinct,401 - Scottsville,462,491,20,0,973,0
Precinct,402 - Monticello,468,437,15,1,921,0
Precinct,405 - Cale,1504,461,41,8,2014,0
Precinct,406 - Stone Robinson,1021,925,38,5,1989,0
Precinct,407 - Biscuit Run,959,232,44,2,1237,0
Precinct,501 - Keswick,589,343,10,0,942,0
Precinct,502 - Stony Point,548,454,23,0,1025,0
Precinct,503 - Hollymead,1051,467,36,1,1555,0
Precinct,504 - Free Bridge,1054,403,27,1,1485,0
Precinct,506 - Baker-butler,1245,836,44,5,2130,0
Precinct,507 - Pantops,934,417,21,2,1374,0
Precinct,601 - Crozet,1365,699,53,2,2119,0
Precinct,602 - Free Union,516,392,8,0,916,0
Precinct,603 - Earlysville,1176,912,39,4,2131,0
Precinct,604 - Brownsville,1096,570,41,5,1712,0
Precinct,606 - Mechums River,1426,695,61,4,2186,0
Precinct,Ab - Central Absentee Precinct,4044,1314,85,13,5456,0
Precinct,Provisional,38,18,0,0,56,0
Locality,Alexandria City,53307,10734,1468,303,65812,0
Precinct,101 - Ladrey Senior Building,1109,357,37,4,1507,0
Precinct,102 - City Hall,1007,406,24,18,1455,0
Precinct,103 - Lyles Crouch School,1671,522,63,8,2264,0
Precinct,104 - Durant Center,1420,266,58,12,1756,0
Precinct,105 - Lee Center,2112,453,62,11,2638,0
Precinct,106 - Cora Kelly,2135,259,62,7,2463,0
Precinct,107 - Mt Vernon Recreation Center,2309,314,67,17,2707,0
Precinct,108 - George Washington Middle Sch,2293,319,72,13,2697,0
Precinct,109 - Fire Department Headquarters,1215,352,30,10,1607,0
Precinct,110 - Charles Houston Center,1579,245,64,13,1901,0
Precinct,111 - Potomac Yard,767,188,28,3,986,0
Precinct,201 - Maury School,1454,282,45,12,1793,0
Precinct,202 - George Mason School,1365,396,46,17,1824,0
Precinct,203 - Agudas Achim Synagogue,1534,279,48,5,1866,0
Precinct,204 - Blessed Sacrament Church,1335,363,48,24,1770,0
Precinct,205 - Douglas Macarthur School,1721,429,67,18,2235,0
Precinct,206 - Chinquapin Park Recreation Ctr,1280,297,40,7,1624,0
Precinct,207 - Temple Beth El Synagogue,1642,468,59,17,2186,0
Precinct,208 - Nova Arts Center,1874,340,56,7,2277,0
Precinct,209 - James K Polk School,1850,352,36,10,2248,0
Precinct,210 - The Hermitage,871,231,22,4,1128,0
Precinct,302 - Patrick Henry Rec Center,1364,217,32,7,1620,0
Precinct,303 - Charles E Beatley Library,1602,219,36,3,1860,0
Precinct,304 - Samuel Tucker School,2341,315,34,6,2696,0
Precinct,305 - John Adams School,1647,213,57,3,1920,0
Precinct,306 - William Ramsay School,1744,235,28,2,2009,0
Precinct,307 - South Port,1453,303,23,1,1780,0
Precinct,308 - Cameron Station Community Ctr,1628,503,33,7,2171,0
Precinct,Ab - Central Absentee Precinct,8891,1584,186,36,10697,0
Precinct,Provisional,94,27,5,1,127,0
Locality,Alleghany County,1952,3433,66,2,5453,0
Precinct,101 - Arritt,136,332,4,0,472,0
Precinct,103 - Dameron,50,126,3,0,179,0
Precinct,201 - Humpback Bridge,90,223,2,0,315,0
Precinct,202 - Dolly Ann,117,272,6,0,395,0
Precinct,301 - Callaghan,55,222,3,0,280,0
Precinct,302 - Griffith,159,355,6,0,520,0
Precinct,401 - Low Moor,125,242,3,0,370,0
Precinct,402 - Jackson Heights,143,325,10,0,478,0
Precinct,501 - Iron Gate,97,125,5,0,227,0
Precinct,502 - Peters Switch,163,431,9,0,603,0
Precinct,601 - District 1,377,384,8,0,769,0
Precinct,701 - District 2,304,240,6,1,551,0
Precinct,Ab - Central Absentee Precinct,136,156,1,1,294,0
Precinct,Provisional,0,0,0,0,0,0
Locality,Amelia County,1938,3823,81,7,5849,0
Precinct,101 - Number One,292,605,7,0,904,0
Precinct,201 - Number Two,411,711,15,1,1138,0
Precinct,301 - Number Three,286,758,22,1,1067,0
Precinct,401 - Number Four,291,712,16,1,1020,0
Precinct,501 - Number Five,473,742,17,0,1232,0
Precinct,Ab - Central Absentee Precinct,182,290,4,4,480,0
Precinct,Provisional,3,5,0,0,8,0
Locality,Amherst County,4541,7779,215,10,12545,0
Precinct,101 - Wright Shop,469,325,6,0,800,0
Precinct,102 - New Glasgow,371,675,20,1,1067,0
Precinct,103 - Coolwell,129,394,13,0,536,0
Precinct,201 - Court House,691,957,30,3,1681,0
Precinct,202 - Temperance,182,459,4,0,645,0
Precinct,301 - Monroe,206,489,11,0,706,0
Precinct,302 - Elon,458,1242,24,0,1724,0
Precinct,303 - Pleasant View,117,276,9,2,404,0
Precinct,401 - Amelon,622,1174,37,2,1835,0
Precinct,402 - Lonco,144,298,9,0,451,0
Precinct,501 - Madison,798,1095,40,0,1933,0
Precinct,Ab - Central Absentee Precinct,350,392,12,2,756,0
Precinct,Provisional,4,3,0,0,7,0
Locality,Appomattox County,1828,4751,99,3,6681,0
Precinct,101 - Vera,99,360,14,0,473,0
Precinct,102 - Pamplin,242,573,14,1,830,0
Precinct,201 - Chap,141,178,2,0,321,0
Precinct,202 - Spout Spring,201,817,13,1,1032,0
Precinct,301 - Us 460,158,475,7,0,640,0
Precinct,302 - Stonewall,199,560,8,0,767,0
Precinct,401 - Courthouse,301,757,22,1,1081,0
Precinct,501 - Oakville,247,572,8,0,827,0
Precinct,502 - Agee,113,221,7,0,341,0
Precinct,Ab - Central Absentee Precinct,127,237,4,0,368,0
Precinct,Provisional,0,1,0,0,1,0
Locality,Arlington County,87258,16495,2771,389,106913,0
Precinct,1 - Arlington,1324,200,25,2,1551,0
Precinct,2 - Ashton Heights,1502,261,44,8,1815,0
Precinct,3 - Aurora Hills,830,233,37,5,1105,0
Precinct,4 - Ballston,1434,290,58,6,1788,0
Precinct,5 - Barcroft,1188,231,38,6,1463,0
Precinct,6 - Crystal City,1116,263,28,6,1413,0
Precinct,7 - Cherrydale,1392,288,44,5,1729,0
Precinct,8 - Hume,1604,366,62,12,2044,0
Precinct,9 - Columbia,1942,353,59,10,2364,0
Precinct,10 - Wilson,1674,343,64,8,2089,0
Precinct,11 - East Falls Church,985,252,28,5,1270,0
Precinct,12 - Fairlington,1445,288,68,8,1809,0
Precinct,13 - Glen Carlyn,944,211,27,5,1187,0
Precinct,14 - Clarendon,1085,211,61,2,1359,0
Precinct,15 - Lyon Park,761,160,25,1,947,0
Precinct,16 - Lyon Village,1378,265,61,11,1715,0
Precinct,17 - Overlee Knolls,1475,324,40,9,1848,0
Precinct,18 - Park Lane,2044,389,72,11,2516,0
Precinct,19 - Rosslyn,1574,297,45,7,1923,0
Precinct,20 - Thrifton,1191,367,46,8,1612,0
Precinct,21 - Virginia Highlands,701,179,31,4,915,0
Precinct,22 - Abingdon,1569,300,61,8,1938,0
Precinct,23 - Westover,1345,259,51,6,1661,0
Precinct,24 - Woodlawn,1770,313,59,8,2150,0
Precinct,25 - Arlington Forest,1354,305,47,10,1716,0
Precinct,26 - Fillmore,1813,305,79,5,2202,0
Precinct,27 - Jefferson,1486,281,42,4,1813,0
Precinct,28 - Wakefield,1654,249,44,7,1954,0
Precinct,29 - Dominion Hills,1412,277,42,2,1733,0
Precinct,30 - Glebe,1490,194,42,3,1729,0
Precinct,31 - Lexington,1479,315,35,5,1834,0
Precinct,32 - Oakridge,577,179,21,4,781,0
Precinct,33 - Rock Spring,1336,422,32,7,1797,0
Precinct,34 - Yorktown,1247,291,36,11,1585,0
Precinct,35 - Madison,1340,564,31,14,1949,0
Precinct,36 - Marshall,1458,365,52,7,1882,0
Precinct,37 - Nottingham,1258,326,41,5,1630,0
Precinct,38 - Arlington View,1352,178,46,3,1579,0
Precinct,39 - Ashlawn,796,169,30,1,996,0
Precinct,40 - Virginia Square,1720,360,70,8,2158,0
Precinct,41 - Navy League,1345,229,62,6,1642,0
Precinct,42 - Shirlington,1192,186,46,4,1428,0
Precinct,43 - Campbell,1159,126,18,5,1308,0
Precinct,44 - Dawson Terrace,1105,176,45,3,1329,0
