,,Gerald Edward Connolly,"Jeffery Anthony Dove, Jr",Stevan Michael Porter,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,Libertarian,,,
Congressional District,11,219191,83023,5546,513,308273,0
Locality,Fairfax City,7089,3229,207,23,10548,0
Precinct,1 - One,942,430,34,4,1410,0
Precinct,2 - Two,892,489,26,5,1412,0
Precinct,3 - Three,1260,613,47,3,1923,0
Precinct,4 - Four,1015,487,26,1,1529,0
Precinct,5 - Five,909,398,30,5,1342,0
Precinct,6 - Six,898,409,22,1,1330,0
Precinct,Ab - Central Absentee Precinct,1167,401,22,4,1594,0
Precinct,Provisional,6,2,0,1,9,0
Locality,Fairfax County,164698,65105,4398,390,234591,0
Precinct,104 - Chapel,956,517,22,1,1496,0
Precinct,105 - Fairview,1897,872,54,3,2826,0
Precinct,106 - Heritage,1397,471,33,2,1903,0
Precinct,108 - Kings Park,955,501,39,1,1496,0
Precinct,109 - Little Run,575,290,20,1,886,0
Precinct,110 - North Springfield,1581,791,39,4,2415,0
Precinct,113 - Canterbury,1619,780,32,7,2438,0
Precinct,114 - Olde Creek,741,394,33,2,1170,0
Precinct,115 - Ravensworth,690,384,28,4,1106,0
Precinct,116 - Wakefield,1014,436,26,2,1478,0
Precinct,117 - Woodson,1056,556,34,7,1653,0
Precinct,118 - Lake Braddock,1693,636,55,8,2392,0
Precinct,119 - Laurel,1590,781,45,5,2421,0
Precinct,120 - Sideburn,1151,764,28,2,1945,0
Precinct,121 - Villa,734,397,35,4,1170,0
Precinct,123 - Robinson,1610,758,46,4,2418,0
Precinct,125 - Signal Hill,1223,603,37,5,1868,0
Precinct,126 - Bonnie Brae,1015,401,39,4,1459,0
Precinct,127 - Burke Centre,1840,757,55,5,2657,0
Precinct,128 - Cardinal,950,394,23,2,1369,0
Precinct,129 - Keene Mill,725,318,20,0,1063,0
Precinct,130 - Terra Centre,978,501,24,2,1505,0
Precinct,131 - Eagle View,1316,614,41,3,1974,0
Precinct,132 - Monument,1588,551,39,3,2181,0
Precinct,133 - Danbury,334,109,7,0,450,0
Precinct,134 - University,1401,233,52,3,1689,0
Precinct,201 - Armstrong,1596,666,55,5,2322,0
Precinct,202 - Flint Hill,1151,672,31,4,1858,0
Precinct,203 - Floris,1520,734,28,3,2285,0
Precinct,204 - Madison,390,121,10,0,521,0
Precinct,208 - Reston #1,1597,463,47,4,2111,0
Precinct,209 - Reston #2,1478,384,47,3,1912,0
Precinct,213 - Vienna #1,1617,755,44,3,2419,0
Precinct,214 - Vienna #2,1284,603,27,5,1919,0
Precinct,216 - Vienna #4,674,274,25,2,975,0
Precinct,218 - Vienna #6,988,354,22,3,1367,0
Precinct,219 - Westbriar,1395,684,36,2,2117,0
Precinct,220 - Dogwood,1824,557,47,3,2431,0
Precinct,221 - Hunters Woods,1229,472,29,3,1733,0
Precinct,222 - Reston #3,1108,231,33,1,1373,0
Precinct,223 - Glade,1726,556,56,6,2344,0
Precinct,224 - South Lakes,2190,604,61,8,2863,0
Precinct,225 - Hughes,1799,428,51,4,2282,0
Precinct,226 - Wolftrap,1390,743,27,6,2166,0
Precinct,227 - Sunrise Valley,698,384,29,2,1113,0
Precinct,233 - North Point,1333,704,27,9,2073,0
Precinct,234 - Aldrin,1245,475,24,2,1746,0
Precinct,235 - Frying Pan,1290,396,20,1,1707,0
Precinct,236 - Stuart,609,251,17,1,878,0
Precinct,237 - Mcnair,1437,382,50,6,1875,0
