,,John Chapman Petersen,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,,,
State Senate District,34,44058,4251,48309,0
Locality,Fairfax City,4874,480,5354,0
Precinct,1 - One,624,63,687,0
Precinct,2 - Two,753,71,824,0
Precinct,3 - Three,967,88,1055,0
Precinct,4 - Four,827,87,914,0
Precinct,5 - Five,654,68,722,0
Precinct,6 - Six,622,68,690,0
Precinct,Ab - Central Absentee Precinct,422,35,457,0
Precinct,Provisional,5,0,5,0
Locality,Fairfax County,39184,3771,42955,0
Precinct,109 - Little Run,454,46,500,0
Precinct,113 - Canterbury,1496,141,1637,0
Precinct,114 - Olde Creek,759,84,843,0
Precinct,116 - Wakefield,911,106,1017,0
Precinct,117 - Woodson,934,82,1016,0
Precinct,119 - Laurel,1325,154,1479,0
Precinct,120 - Sideburn,1109,129,1238,0
Precinct,121 - Villa,628,65,693,0
Precinct,123 - Robinson,1308,136,1444,0
Precinct,126 - Bonnie Brae,843,73,916,0
Precinct,134 - University,563,18,581,0
Precinct,204 - Madison,237,18,255,0
Precinct,213 - Vienna #1,1301,117,1418,0
Precinct,214 - Vienna #2,1006,73,1079,0
Precinct,216 - Vienna #4,491,37,528,0
Precinct,218 - Vienna #6,723,47,770,0
Precinct,522 - Camelot,525,55,580,0
Precinct,528 - Ridgelea,452,56,508,0
Precinct,701 - Blake,1254,103,1357,0
Precinct,707 - Mantua,843,69,912,0
Precinct,709 - Mosby,993,74,1067,0
Precinct,711 - Price,706,61,767,0
Precinct,714 - Walker,933,76,1009,0
Precinct,718 - Pine Ridge,658,63,721,0
Precinct,720 - Thoreau,1025,120,1145,0
Precinct,727 - Oakton,737,72,809,0
Precinct,729 - Nottoway,1069,86,1155,0
Precinct,730 - Penderbrook,950,92,1042,0
Precinct,732 - Oak Marr,1010,135,1145,0
Precinct,733 - Kilmer,1223,90,1313,0
Precinct,734 - Hunters Branch,623,47,670,0
Precinct,841 - Popes Head,555,77,632,0
Precinct,844 - Centerpointe,689,40,729,0
Precinct,846 - Greenbriar East,952,83,1035,0
Precinct,847 - Greenbriar West,719,89,808,0
Precinct,903 - Cub Run,1127,135,1262,0
Precinct,913 - Rocky Run,1111,148,1259,0
Precinct,917 - Stone North,587,64,651,0
Precinct,921 - Deer Park,1153,139,1292,0
Precinct,928 - Poplar Tree,861,75,936,0
Precinct,932 - Stone South,459,31,490,0
Precinct,Ab - Central Absentee Precinct,3817,363,4180,0
Precinct,Provisional,65,2,67,0
