,,Mark Robert Warner,Daniel Mac Arthur Gade,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,,,
State,Virginia,2466500,1934199,4388,4405087,0
Locality,Accomack County,7939,8863,9,16811,0
Precinct,101 - Chincoteague,272,1032,1,1305,0
Precinct,201 - Atlantic,106,425,0,531,0
Precinct,202 - Greenbackville,160,696,0,856,0
Precinct,301 - New Church,298,421,1,720,0
Precinct,401 - Bloxom,91,295,0,386,0
Precinct,402 - Parksley,137,364,0,501,0
Precinct,403 - Saxis,46,136,1,183,0
Precinct,501 - Mappsville,135,150,0,285,0
Precinct,502 - Rue,104,86,0,190,0
Precinct,601 - Accomac,132,363,0,495,0
Precinct,602 - Tangier,41,199,0,240,0
Precinct,701 - Nandua,149,502,0,651,0
Precinct,801 - Bobtown,85,216,0,301,0
Precinct,802 - Melfa,154,273,0,427,0
Precinct,803 - Wachapreague,82,267,0,349,0
Precinct,901 - Painter,366,428,1,795,0
Precinct,Ab - Central Absentee Precinct,5569,3000,5,8574,0
Precinct,Provisional,12,10,0,22,0
Locality,Albemarle County,42730,20700,55,63485,0
Precinct,101 - Woodbrook,388,362,0,750,0
Precinct,103 - Branchlands,155,111,0,266,0
Precinct,104 - Agnor-hurt,392,266,3,661,0
Precinct,105 - Dunlora,365,303,0,668,0
Precinct,106 - Northside,501,675,3,1179,0
Precinct,201 - Jack Jouett,297,404,1,702,0
Precinct,202 - University,342,141,2,485,0
Precinct,203 - Georgetown,497,229,1,727,0
Precinct,301 - Ivy,503,500,0,1003,0
Precinct,302 - Red Hill,438,570,1,1009,0
Precinct,304 - East Ivy,128,119,0,247,0
Precinct,305 - Country Green,255,278,2,535,0
Precinct,306 - Porters,346,377,3,726,0
Precinct,307 - Yellow Mountain,130,170,0,300,0
Precinct,401 - Scottsville,216,510,2,728,0
Precinct,402 - Monticello,172,345,1,518,0
Precinct,405 - Mountain View,311,285,1,597,0
Precinct,406 - Stone Robinson,267,557,0,824,0
Precinct,407 - Biscuit Run,211,172,0,383,0
Precinct,501 - Keswick,251,345,0,596,0
Precinct,502 - Stony Point,220,396,0,616,0
Precinct,503 - Hollymead,440,396,0,836,0
Precinct,504 - Free Bridge,229,217,0,446,0
Precinct,506 - Baker-butler,365,578,1,944,0
Precinct,507 - Pantops,153,227,0,380,0
Precinct,601 - Crozet,349,612,1,962,0
Precinct,602 - Free Union,234,402,0,636,0
Precinct,603 - Earlysville,379,784,1,1164,0
Precinct,604 - Brownsville,308,448,0,756,0
Precinct,606 - Mechums River,377,500,0,877,0
Precinct,Ab - Central Absentee Precinct,33176,9331,32,42539,0
Precinct,Provisional,335,90,0,425,0
Locality,Alexandria City,65071,16802,107,81980,0
Precinct,101 - Ladrey Senior Building,155,157,0,312,0
Precinct,102 - City Hall,110,195,2,307,0
Precinct,103 - Lyles Crouch School,297,305,0,602,0
Precinct,104 - Durant Center,243,173,5,421,0
Precinct,105 - Lee Center,175,152,0,327,0
Precinct,106 - Cora Kelly,624,268,0,892,0
Precinct,107 - Mt Vernon Recreation Center,407,242,1,650,0
Precinct,108 - George Washington Middle Sch,306,182,0,488,0
Precinct,109 - Fire Department Headquarters,209,227,1,437,0
Precinct,110 - Charles Houston Center,375,164,1,540,0
Precinct,111 - Potomac Yard,195,124,1,320,0
Precinct,112 - Alex Renew,177,144,0,321,0
Precinct,201 - Maury School,256,218,1,475,0
Precinct,202 - George Mason School,236,277,0,513,0
Precinct,203 - Charles Barrett Center,312,203,1,516,0
Precinct,204 - Blessed Sacrament Church,254,238,0,492,0
Precinct,205 - Douglas Macarthur School,280,234,1,515,0
Precinct,206 - Chinquapin Park Recreation Ctr,220,168,1,389,0
Precinct,207 - Temple Beth El Synagogue,371,259,2,632,0
Precinct,208 - Nova Arts Center,460,277,2,739,0
Precinct,209 - James K Polk School,479,237,2,718,0
Precinct,210 - The Hermitage,191,122,0,313,0
Precinct,302 - Patrick Henry Rec Center,361,131,2,494,0
Precinct,303 - Charles E Beatley Library,300,108,0,408,0
Precinct,304 - Samuel Tucker School,413,176,1,590,0
Precinct,305 - John Adams School,671,197,0,868,0
Precinct,306 - William Ramsay School,648,187,0,835,0
Precinct,307 - South Port,468,186,1,655,0
Precinct,308 - Cameron Station Community Ctr,325,302,2,629,0
Precinct,309 - Olympus Condo,400,129,0,529,0
Precinct,Ab - Central Absentee Precinct,54818,10727,80,65625,0
Precinct,Provisional,335,93,0,428,0
Locality,Alleghany County,2822,5159,14,7995,0
Precinct,101 - Arritt,118,478,0,596,0
Precinct,103 - Dameron,53,179,1,233,0
Precinct,201 - Humpback Bridge,71,258,0,329,0
Precinct,202 - Dolly Ann,102,298,2,402,0
Precinct,301 - Callaghan,55,311,1,367,0
Precinct,302 - Griffith,139,389,1,529,0
Precinct,401 - Low Moor,77,270,0,347,0
Precinct,402 - Jackson Heights,101,290,0,391,0
Precinct,501 - Iron Gate,83,144,0,227,0
Precinct,502 - Peters Switch,177,510,0,687,0
Precinct,601 - District 1,254,460,2,716,0
Precinct,701 - District 2,212,290,2,504,0
Precinct,Ab - Central Absentee Precinct,1380,1282,5,2667,0
Precinct,Provisional,0,0,0,0,0
Locality,Amelia County,2559,5266,8,7833,0
Precinct,101 - Number One,138,545,1,684,0
Precinct,201 - Number Two,153,543,0,696,0
Precinct,301 - Number Three,136,545,0,681,0
Precinct,401 - Number Four,106,443,1,550,0
Precinct,501 - Number Five,221,626,3,850,0
Precinct,Ab - Central Absentee Precinct,1786,2545,3,4334,0
Precinct,Provisional,19,19,0,38,0
Locality,Amherst County,6273,10624,6,16903,0
Precinct,101 - Wright Shop,271,344,1,616,0
Precinct,102 - New Glasgow,164,545,0,709,0
Precinct,103 - Coolwell,101,368,1,470,0
Precinct,201 - Court House,253,618,1,872,0
Precinct,202 - Temperance,115,487,0,602,0
Precinct,301 - Monroe,109,416,0,525,0
Precinct,302 - Elon,262,1041,0,1303,0
Precinct,303 - Pleasant View,95,282,0,377,0
Precinct,401 - Amelon,318,952,0,1270,0
Precinct,402 - Lonco,79,289,0,368,0
Precinct,501 - Madison,375,956,1,1332,0
Precinct,Ab - Central Absentee Precinct,4080,4320,2,8402,0
Precinct,Provisional,51,6,0,57,0
Locality,Appomattox County,2741,6306,10,9057,0
Precinct,101 - Vera,58,325,1,384,0
Precinct,102 - Pamplin,143,480,2,625,0
Precinct,201 - Chap,104,160,0,264,0
Precinct,202 - Spout Spring,120,587,0,707,0
Precinct,301 - Us 460,81,361,0,442,0
Precinct,302 - Stonewall,93,482,0,575,0
Precinct,401 - Courthouse,179,443,2,624,0
Precinct,501 - Oakville,179,456,1,636,0
Precinct,502 - Agee,91,207,0,298,0
Precinct,Ab - Central Absentee Precinct,1689,2798,4,4491,0
Precinct,Provisional,4,7,0,11,0
Locality,Arlington County,102880,26590,154,129624,0
Precinct,1 - Arlington,393,151,0,544,0
Precinct,2 - Ashton Heights,248,190,0,438,0
Precinct,3 - Aurora Hills,85,90,0,175,0
Precinct,4 - Ballston,312,233,0,545,0
Precinct,5 - Barcroft,307,174,1,482,0
Precinct,6 - Crystal City,175,136,2,313,0
Precinct,7 - Cherrydale,249,235,1,485,0
Precinct,8 - Hume,318,220,1,539,0
Precinct,9 - Columbia,253,162,1,416,0
Precinct,10 - Wilson,286,213,0,499,0
Precinct,11 - East Falls Church,154,176,0,330,0
Precinct,12 - Fairlington,270,226,2,498,0
Precinct,13 - Glen Carlyn,269,161,2,432,0
Precinct,14 - Clarendon,181,148,1,330,0
Precinct,15 - Lyon Park,197,129,1,327,0
Precinct,16 - Lyon Village,227,197,1,425,0
Precinct,17 - Overlee Knolls,209,219,0,428,0
Precinct,18 - Park Lane,219,229,1,449,0
Precinct,19 - Rosslyn,232,192,1,425,0
Precinct,20 - Thrifton,138,173,0,311,0
Precinct,21 - Virginia Highlands,73,75,0,148,0
Precinct,22 - Abingdon,279,224,2,505,0
Precinct,23 - Westover,301,211,0,512,0
Precinct,24 - Woodlawn,253,187,0,440,0
Precinct,25 - Arlington Forest,282,168,0,450,0
Precinct,26 - Fillmore,337,191,2,530,0
Precinct,27 - Jefferson,272,172,2,446,0
Precinct,28 - Wakefield,411,206,2,619,0
Precinct,29 - Dominion Hills,233,172,3,408,0
Precinct,30 - Glebe,415,132,0,547,0
Precinct,31 - Lexington,242,186,0,428,0
Precinct,32 - Oakridge,104,106,2,212,0
Precinct,33 - Rock Spring,177,237,0,414,0
Precinct,34 - Yorktown,144,200,0,344,0
Precinct,35 - Madison,115,193,0,308,0
Precinct,36 - Marshall,243,199,0,442,0
Precinct,37 - Nottingham,180,201,0,381,0
Precinct,38 - Arlington View,342,131,3,476,0
Precinct,39 - Ashlawn,165,132,0,297,0
Precinct,40 - Virginia Square,290,264,0,554,0
Precinct,41 - Navy League,132,126,3,261,0
Precinct,42 - Shirlington,258,143,0,401,0
Precinct,43 - Campbell,486,104,2,592,0
Precinct,44 - Dawson Terrace,202,149,3,354,0
Precinct,45 - Buckingham,288,150,0,438,0
Precinct,46 - Central,287,223,2,512,0
Precinct,47 - Four Mile Run,280,112,1,393,0
Precinct,48 - Ausa,107,121,1,229,0
Precinct,49 - Monroe,220,130,0,350,0
Precinct,50 - Crystal Plaza,262,190,1,453,0
Precinct,51 - Taylor,116,81,0,197,0
Precinct,52 - Gunston,276,149,0,425,0
Precinct,53 - Met Park,365,230,3,598,0
Precinct,54 - Garfield Park,143,84,1,228,0
Precinct,Ab - Central Absentee Precinct,89563,17260,105,106928,0
Precinct,Provisional,315,97,1,413,0
Locality,Augusta County,12224,29794,26,42044,0
Precinct,101 - Jolivue,115,405,1,521,0
Precinct,102 - Stuarts Draft Elementary,203,601,1,805,0
Precinct,103 - Verona,138,530,2,670,0
Precinct,201 - Crimora,205,993,1,1199,0
Precinct,202 - New Hope,135,683,2,820,0
Precinct,203 - Weyers Cave,246,920,0,1166,0
Precinct,301 - Fort Defiance,212,947,0,1159,0
Precinct,302 - North River,95,445,0,540,0
Precinct,303 - Mount Solon,117,770,0,887,0
Precinct,304 - Churchville Fire Station,85,513,0,598,0
Precinct,401 - Buffalo Gap,102,604,1,707,0
Precinct,402 - Churchville Elementary,105,553,2,660,0
Precinct,403 - Craigsville,132,575,0,707,0
Precinct,404 - Deerfield,54,266,0,320,0
Precinct,405 - Cedar Green,127,483,0,610,0
Precinct,501 - Greenville,142,903,0,1045,0
Precinct,502 - Middlebrook,105,534,0,639,0
Precinct,503 - Spottswood,125,624,0,749,0
Precinct,504 - White Hill,198,866,2,1066,0
Precinct,601 - Sherando,157,784,0,941,0
Precinct,602 - Ridgeview,234,1108,1,1343,0
Precinct,603 - Lyndhurst,180,808,1,989,0
Precinct,801 - Dooms,144,689,0,833,0
Precinct,802 - Fishersville,215,842,0,1057,0
Precinct,803 - Wilson,264,665,1,930,0
Precinct,Ab - Central Absentee Precinct,8314,12590,11,20915,0
Precinct,Provisional,75,93,0,168,0
Locality,Bath County,744,1688,2,2434,0
Precinct,101 - Warm Springs,53,202,0,255,0
Precinct,102 - Mountain Grove,15,50,0,65,0
Precinct,201 - Hot Springs,80,148,0,228,0
Precinct,301 - Fairview,39,256,1,296,0
Precinct,302 - Burnsville,8,81,0,89,0
Precinct,401 - Millboro,90,320,0,410,0
Precinct,501 - Healing Springs,82,260,0,342,0
Precinct,Ab - Central Absentee Precinct,377,367,1,745,0
Precinct,Provisional,0,4,0,4,0
Locality,Bedford County,13872,34407,39,48318,0
Precinct,101 - Goodview Elem School (CD 5),240,981,0,1221,0
Precinct,102 - Hardy Vol Fire Co (CD 5),156,498,0,654,0
Precinct,103 - Chamblissburg Baptist Church (CD 5),151,749,1,901,0
Precinct,104 - Stewartsville Rescue Squad (CD 5),176,649,2,827,0
Precinct,201 - Bedford Christian Church (CD 5),73,308,1,382,0
Precinct,202 - Staunton River High School (CD 5),115,525,1,641,0
Precinct,203 - Moneta Elem School (CD 5),189,846,0,1035,0
Precinct,204 - Quaker Baptist Church (CD 5),78,340,1,419,0
Precinct,205 - Saunders Vol Fire Co (CD 5),159,754,0,913,0
Precinct,301 - New London Academy (CD 6),117,746,0,863,0
Precinct,302 - Bedford Regional Water Auth (CD 5),90,406,0,496,0
Precinct,303 - Bethesda United Methodist Church (CD 5),84,467,0,551,0
Precinct,304 - Riverside Church (CD 6),75,389,0,464,0
Precinct,305 - Huddleston Elem School (CD 5),91,395,0,486,0
Precinct,306 - Forest Fire Station #2 (CD 6),65,460,0,525,0
Precinct,401 - Forest Elementary School (CD 6),183,861,2,1046,0
Precinct,402 - Thomas Jefferson Elem School (CD 6),138,470,1,609,0
Precinct,403 - Knights Of Columbus Bldg (CD 6),236,1025,1,1262,0
Precinct,404 - Forest Recreation Center (CD 6),131,796,1,928,0
Precinct,502 - Big Island Elem School (CD 6),68,315,0,383,0
Precinct,503 - Sedalia Center (CD 6),77,378,0,455,0
Precinct,504 - Suck Springs Baptist Church (CD 6),84,501,1,586,0
Precinct,505 - Boonsboro Elementary School (CD 6),271,819,0,1090,0
Precinct,506 - Boonsboro Ruritan Club (CD 6),272,1270,2,1544,0
Precinct,601 - Montvale Elem School (CD 6),184,679,2,865,0
Precinct,602 - Shady Grove Fire Department (CD 5),155,841,2,998,0
Precinct,603 - Thaxton Baptist Church #1 (CD 5),32,193,0,225,0
Precinct,604 - Bedford Welcome Center (CD 5),192,641,0,833,0
Precinct,701 - Goode Vol Rescue Squad (CD 5),130,885,0,1015,0
Precinct,702 - Liberty High School (CD 5),81,386,0,467,0
Precinct,703 - Thaxton Baptist Church #2 (CD 5),74,375,0,449,0
Precinct,704 - Bedford Central Library (CD 5),255,557,4,816,0
Precinct,Ab - Central Absentee Precinct (CD 5),5045,7938,9,12992,0
Precinct,Ab - Central Absentee Precinct (CD 6),4267,6843,8,11118,0
Precinct,Provisional (CD 5),73,57,0,130,0
Precinct,Provisional (CD 6),65,64,0,129,0
Locality,Bland County,732,2651,3,3386,0
Precinct,101 - Bastian,42,219,0,261,0
Precinct,102 - Ceres,57,243,1,301,0
Precinct,201 - Davis,28,79,0,107,0
Precinct,202 - Seddon,78,345,0,423,0
Precinct,301 - Hollybrook,53,277,1,331,0
Precinct,302 - Mechanicsburg,24,132,0,156,0
Precinct,401 - Rocky Gap,74,461,0,535,0
Precinct,Ab - Central Absentee Precinct,375,893,1,1269,0
Precinct,Provisional,1,2,0,3,0
Locality,Botetourt County,6512,14190,15,20717,0
Precinct,101 - Daleville,240,646,2,888,0
Precinct,102 - Greenfield,177,790,2,969,0
Precinct,201 - Blue Ridge,226,864,0,1090,0
Precinct,202 - Rainbow Forest,233,805,0,1038,0
Precinct,301 - Buchanan,243,830,1,1074,0
Precinct,302 - Mill Creek,199,757,1,957,0
Precinct,403 - Eagle Rock,153,638,0,791,0
Precinct,406 - Fincastle,140,837,1,978,0
Precinct,501 - Troutville,124,502,0,626,0
Precinct,502 - Cloverdale,214,723,1,938,0
Precinct,Ab - Central Absentee Precinct,4545,6790,7,11342,0
Precinct,Provisional,18,8,0,26,0
Locality,Bristol City,2787,4892,9,7688,0
Precinct,1 - First Ward,198,478,4,680,0
Precinct,2 - Second Ward,165,486,0,651,0
Precinct,3 - Third Ward,140,258,0,398,0
Precinct,4 - Fourth Ward,260,1022,0,1282,0
Precinct,Ab - Central Absentee Precinct,2008,2636,5,4649,0
Precinct,Provisional,16,12,0,28,0
Locality,Brunswick County,4727,3192,2,7921,0
Precinct,101 - Brodnax,120,127,0,247,0
Precinct,102 - Rock Store,116,237,0,353,0
Precinct,103 - Tillman,141,299,1,441,0
Precinct,201 - Dromgoole,69,77,0,146,0
Precinct,202 - Edgerton,196,79,0,275,0
Precinct,203 - Fitzhugh,194,123,0,317,0
Precinct,301 - Alberta,57,55,0,112,0
Precinct,302 - Danieltown,143,254,0,397,0
Precinct,303 - Elmore,86,109,1,196,0
Precinct,304 - Seymour,105,130,0,235,0
Precinct,401 - Sturgeon,258,226,0,484,0
Precinct,402 - King's Store,118,67,0,185,0
Precinct,501 - Totaro,264,98,0,362,0
Precinct,Ab - Central Absentee Precinct,2859,1311,0,4170,0
Precinct,Provisional,1,0,0,1,0
Locality,Buchanan County,2522,7202,12,9736,0
Precinct,102 - Blackey,62,305,1,368,0
Precinct,103 - Hurley,131,643,2,776,0
Precinct,201 - Grassy,33,88,0,121,0
Precinct,202 - Bull,91,304,1,396,0
Precinct,203 - Rocklick,87,381,1,469,0
Precinct,301 - Slate,107,408,2,517,0
Precinct,302 - North Grundy,83,308,1,392,0
Precinct,403 - South Grundy,129,401,0,530,0
Precinct,404 - Oakwood,15,42,0,57,0
Precinct,501 - Prater,117,333,0,450,0
Precinct,502 - Fox,67,85,1,153,0
Precinct,503 - Vansant,88,295,0,383,0
Precinct,601 - Council,97,242,1,340,0
Precinct,602 - Garden,112,348,0,460,0
Precinct,603 - Hurricane,117,187,0,304,0
Precinct,701 - Whitewood,120,439,0,559,0
Precinct,702 - Contrary,77,331,0,408,0
Precinct,Ab - Central Absentee Precinct,983,2040,2,3025,0
Precinct,Provisional,6,22,0,28,0
Locality,Buckingham County,3656,4392,4,8052,0
Precinct,101 - New Canton,243,379,1,623,0
Precinct,102 - Georgia Creek,54,151,1,206,0
Precinct,201 - White Hall,105,178,0,283,0
Precinct,301 - Curdsville,133,316,0,449,0
Precinct,302 - New Store,85,260,0,345,0
Precinct,401 - Maysville,156,338,1,495,0
Precinct,501 - Wrights,81,226,1,308,0
Precinct,502 - Glenmore,114,272,0,386,0
Precinct,601 - Slate River,215,300,0,515,0
Precinct,701 - Gold Hill,111,222,0,333,0
Precinct,Ab - Central Absentee Precinct,2353,1746,0,4099,0
Precinct,Provisional,6,4,0,10,0
Locality,Buena Vista City,1020,1724,3,2747,0
Precinct,1 - First Ward,147,389,1,537,0
Precinct,2 - Second Ward,113,312,1,426,0
Precinct,AB - Central Absentee Precinct,760,1023,1,1784,0
Precinct,Provisional,0,0,0,0,0
Locality,Campbell County,9278,20337,32,29647,0
Precinct,101 - Brookville,261,1001,1,1263,0
Precinct,102 - New London,295,1109,1,1405,0
Precinct,201 - Walker,245,760,3,1008,0
Precinct,202 - Bedford Springs,208,1004,1,1213,0
Precinct,301 - Evington,138,435,1,574,0
Precinct,302 - Otter River,119,357,1,477,0
Precinct,303 - Altavista,320,588,0,908,0
Precinct,401 - Three Forks,132,714,1,847,0
Precinct,402 - Court House,201,976,4,1181,0
Precinct,501 - Spring Hill,229,869,3,1101,0
Precinct,502 - Yellow Branch,167,580,0,747,0
Precinct,601 - Kings,217,687,2,906,0
Precinct,602 - Concord,189,872,2,1063,0
Precinct,701 - Brookneal,210,477,1,688,0
Precinct,702 - Gladys,200,621,1,822,0
Precinct,703 - Morris Church,115,384,0,499,0
Precinct,AB - Central Absentee Precinct,6032,8903,10,14945,0
Precinct,Provisional,0,0,0,0,0
Locality,Caroline County,8124,8036,14,16174,0
Precinct,101 - Bowling Green,229,566,1,796,0
Precinct,102 - Sparta,211,504,1,716,0
Precinct,201 - North Madison,264,383,0,647,0
Precinct,202 - South Madison,271,512,1,784,0
Precinct,301 - Port Royal,165,238,0,403,0
Precinct,302 - Woodford,292,671,0,963,0
Precinct,401 - Dawn,439,498,1,938,0
Precinct,402 - Carmel Church,145,179,0,324,0
Precinct,501 - West Mattaponi,270,297,2,569,0
Precinct,502 - Milford,175,388,0,563,0
Precinct,601 - Chilesburg,313,559,0,872,0
Precinct,602 - Lake,214,431,1,646,0
Precinct,Ab - Central Absentee Precinct,5078,2756,7,7841,0
Precinct,Provisional,58,54,0,112,0
Locality,Carroll County,3591,11610,14,15215,0
Precinct,101 - Mt Bethel,81,388,0,469,0
Precinct,102 - St Paul,73,532,1,606,0
Precinct,103 - Lambsburg,65,344,0,409,0
Precinct,105 - Fancy Gap,56,374,0,430,0
Precinct,201 - Hillsville B,172,676,0,848,0
Precinct,202 - Laurel Fork,83,379,0,462,0
Precinct,203 - Gladesboro,119,447,0,566,0
Precinct,301 - Hillsville C,178,913,2,1093,0
Precinct,302 - Sylvatus,76,419,2,497,0
Precinct,303 - Dugspur,43,221,0,264,0
Precinct,401 - Oakland,162,810,1,973,0
Precinct,402 - Woodlawn D,123,626,2,751,0
Precinct,406 - Woodlawn F,41,119,0,160,0
Precinct,501 - Vaughan,62,341,0,403,0
Precinct,502 - Gladeville,129,687,0,816,0
