,,Gerald Edward Connolly,Manga Alamelu Anantatmula,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,,,
Congressional District,11,280725,111380,1136,393241,0
Locality,Fairfax City,8972,4156,46,13174,0
Precinct,1 - One,297,255,1,553,0
Precinct,2 - Two,205,271,7,483,0
Precinct,3 - Three,327,373,2,702,0
Precinct,4 - Four,162,183,1,346,0
Precinct,5 - Five,234,256,2,492,0
Precinct,6 - Six,306,269,3,578,0
Precinct,Provisional,57,23,0,80,0
Locality,Fairfax County,205883,85311,887,292081,0
Precinct,104 - Chapel,301,379,1,681,0
Precinct,105 - Fairview,673,638,1,1312,0
Precinct,106 - Heritage,745,455,4,1204,0
Precinct,108 - Kings Park,410,409,5,824,0
Precinct,109 - Little Run,226,193,1,420,0
Precinct,110 - North Springfield,684,653,8,1345,0
Precinct,113 - Canterbury,516,566,3,1085,0
Precinct,114 - Olde Creek,330,326,0,656,0
Precinct,115 - Ravensworth,348,384,8,740,0
Precinct,116 - Wakefield,343,342,5,690,0
Precinct,117 - Woodson,319,391,4,714,0
Precinct,118 - Lake Braddock,647,509,3,1159,0
Precinct,119 - Laurel,589,605,5,1199,0
Precinct,120 - Sideburn,377,557,4,938,0
Precinct,121 - Villa,385,360,7,752,0
Precinct,123 - Robinson,454,544,3,1001,0
Precinct,125 - Signal Hill,419,417,6,842,0
Precinct,126 - Bonnie Brae,456,305,1,762,0
Precinct,127 - Burke Centre,723,553,8,1284,0
Precinct,128 - Cardinal,424,351,4,779,0
Precinct,129 - Keene Mill,318,284,3,605,0
Precinct,130 - Terra Centre,423,369,3,795,0
Precinct,131 - Eagle View,406,445,4,855,0
Precinct,132 - Monument,330,281,2,613,0
Precinct,133 - Danbury,193,124,1,318,0
Precinct,134 - University,273,65,0,338,0
Precinct,201 - Armstrong,463,390,2,855,0
Precinct,202 - Flint Hill,281,414,7,702,0
Precinct,203 - Floris,457,461,6,924,0
Precinct,204 - Madison,143,107,2,252,0
Precinct,208 - Reston #1,543,369,3,915,0
Precinct,209 - Reston #2,598,297,5,900,0
Precinct,213 - Vienna #1,428,503,6,937,0
Precinct,214 - Vienna #2,307,381,3,691,0
Precinct,216 - Vienna #4,204,192,1,397,0
Precinct,218 - Vienna #6,226,235,2,463,0
Precinct,219 - Westbriar,387,405,2,794,0
Precinct,220 - Dogwood,683,434,5,1122,0
Precinct,221 - Hunters Woods,333,297,2,632,0
Precinct,222 - Reston #3,354,176,0,530,0
Precinct,223 - Glade,457,336,1,794,0
Precinct,224 - South Lakes,562,470,4,1036,0
Precinct,225 - Hughes,574,353,5,932,0
Precinct,226 - Wolftrap,390,502,2,894,0
Precinct,227 - Sunrise Valley,223,231,2,456,0
Precinct,233 - North Point,338,491,5,834,0
Precinct,234 - Aldrin,328,302,3,633,0
Precinct,235 - Frying Pan,371,321,5,697,0
Precinct,236 - Stuart,255,194,1,450,0
Precinct,237 - Mcnair,530,313,2,845,0
Precinct,238 - Cameron Glen,230,287,3,520,0
Precinct,319 - Herndon #1,516,514,3,1033,0
Precinct,320 - Herndon #2,569,423,6,998,0
Precinct,324 - Herndon #3,529,376,2,907,0
Precinct,325 - Hutchison,533,193,2,728,0
Precinct,332 - Coates,682,428,4,1114,0
Precinct,426 - Greenspring,345,229,0,574,0
Precinct,502 - Barcroft,167,152,2,321,0
Precinct,503 - Belvedere,207,166,2,375,0
Precinct,504 - Bristow,549,293,2,844,0
Precinct,508 - Masonville,362,332,1,695,0
Precinct,511 - Ravenwood,346,285,5,636,0
Precinct,512 - Sleepy Hollow,276,206,3,485,0
Precinct,513 - Saint Albans,247,166,1,414,0
Precinct,518 - Columbia,472,365,3,840,0
Precinct,519 - Hummer,281,260,5,546,0
Precinct,522 - Camelot,217,237,0,454,0
Precinct,528 - Ridgelea,211,204,4,419,0
