,,Jason Stuart Redding Miyares,Mark Rankin Herring,Write-Ins,Total Votes Cast,Undervotes
,,Republican,Democratic,,,
State,Virginia,1647534,1621227,2996,3271757,0
Locality,Accomack County,7784,5034,7,12825,0
Precinct,##ev - Central Absentee Precinct,1698,2237,1,3936,0
Precinct,##pe - Central Absentee Precinct,12,17,0,29,0
Precinct,101 - Chincoteague,967,337,0,1304,0
Precinct,201 - Atlantic,415,67,0,482,0
Precinct,202 - Greenbackville,672,166,1,839,0
Precinct,301 - New Church,419,222,1,642,0
Precinct,401 - Bloxom,279,63,1,343,0
Precinct,402 - Parksley,356,110,0,466,0
Precinct,403 - Saxis,124,27,0,151,0
Precinct,501 - Mappsville,158,112,1,271,0
Precinct,502 - Rue,89,115,0,204,0
Precinct,601 - Accomac,401,149,0,550,0
Precinct,602 - Tangier,155,15,0,170,0
Precinct,701 - Nandua,517,235,0,752,0
Precinct,801 - Bobtown,271,102,0,373,0
Precinct,802 - Melfa,299,158,0,457,0
Precinct,803 - Wachapreague,274,69,0,343,0
Precinct,901 - Painter,477,400,2,879,0
Precinct,Ab - Central Absentee Precinct,200,433,0,633,0
Precinct,Provisional,1,0,0,1,0
Locality,Albemarle County,18809,32282,42,51133,0
Precinct,##ev - Central Absentee Precinct,4167,9312,8,13487,0
Precinct,##pe - Central Absentee Precinct,84,347,0,431,0
Precinct,101 - Woodbrook,485,784,2,1271,0
Precinct,103 - Branchlands,122,251,1,374,0
Precinct,104 - Agnor-hurt,260,603,5,868,0
Precinct,105 - Dunlora,391,934,1,1326,0
Precinct,106 - Northside,757,826,1,1584,0
Precinct,201 - Jack Jouett,557,693,0,1250,0
Precinct,202 - University,142,499,0,641,0
Precinct,203 - Georgetown,271,700,0,971,0
Precinct,301 - Ivy,719,1080,0,1799,0
Precinct,302 - Red Hill,637,703,0,1340,0
Precinct,304 - East Ivy,169,260,0,429,0
Precinct,305 - Country Green,364,577,0,941,0
Precinct,306 - Porters,378,402,1,781,0
Precinct,307 - Yellow Mountain,183,192,0,375,0
Precinct,401 - Scottsville,533,285,0,818,0
Precinct,402 - Monticello,440,249,1,690,0
Precinct,405 - Mountain View,347,812,2,1161,0
Precinct,406 - Stone Robinson,739,523,1,1263,0
Precinct,407 - Biscuit Run,166,386,2,554,0
Precinct,501 - Keswick,345,346,1,692,0
Precinct,502 - Stony Point,451,349,1,801,0
Precinct,503 - Hollymead,511,762,1,1274,0
Precinct,504 - Free Bridge,283,514,1,798,0
Precinct,506 - Baker-butler,724,791,2,1517,0
Precinct,507 - Pantops,384,516,2,902,0
Precinct,601 - Crozet,731,819,0,1550,0
Precinct,602 - Free Union,435,367,0,802,0
Precinct,603 - Earlysville,870,776,1,1647,0
Precinct,604 - Brownsville,570,731,1,1302,0
Precinct,606 - Mechums River,672,912,1,1585,0
Precinct,Ab - Central Absentee Precinct,892,4865,6,5763,0
Precinct,Provisional,30,116,0,146,0
Locality,Alexandria City,13632,44070,59,57761,0
Precinct,##ev - Central Absentee Precinct,3597,12925,8,16530,0
Precinct,##pe - Central Absentee Precinct,114,676,3,793,0
Precinct,101 - Ladrey Senior Building,257,430,0,687,0
Precinct,102 - City Hall,325,407,0,732,0
Precinct,103 - Lyles Crouch School,420,802,1,1223,0
Precinct,104 - Durant Center,254,711,1,966,0
Precinct,105 - Lee Center,237,550,0,787,0
Precinct,106 - Cora Kelly,323,1099,2,1424,0
Precinct,107 - Mt Vernon Recreation Center,361,1508,4,1873,0
Precinct,108 - George Washington Middle Sch,344,1340,0,1684,0
Precinct,109 - Fire Department Headquarters,289,704,0,993,0
Precinct,110 - Charles Houston Center,271,949,2,1222,0
Precinct,111 - Potomac Yard,172,458,1,631,0
Precinct,112 - Alex Renew,203,504,0,707,0
Precinct,201 - Naomi L. Brooks School,316,974,2,1292,0
Precinct,202 - George Mason School,422,866,2,1290,0
Precinct,203 - Charles Barrett Center,302,902,4,1208,0
Precinct,204 - Blessed Sacrament Church,402,875,0,1277,0
Precinct,205 - Douglas Macarthur School,378,817,1,1196,0
Precinct,206 - Chinquapin Park Recreation Ctr,267,676,0,943,0
Precinct,207 - Temple Beth El Synagogue,463,943,2,1408,0
Precinct,208 - Nova Arts Center,329,935,2,1266,0
Precinct,209 - James K Polk School,284,999,1,1284,0
Precinct,210 - The Hermitage,186,349,2,537,0
Precinct,302 - Patrick Henry Rec Center,197,635,2,834,0
Precinct,303 - Charles E Beatley Library,192,586,1,779,0
Precinct,304 - Samuel Tucker School,219,666,1,886,0
Precinct,305 - John Adams School,245,714,2,961,0
Precinct,306 - William Ramsay School,264,822,3,1089,0
Precinct,307 - South Port,270,774,2,1046,0
Precinct,308 - Cameron Station Community Ctr,425,906,1,1332,0
Precinct,309 - Olympus Condo,154,563,1,718,0
Precinct,Ab - Central Absentee Precinct,1101,6807,8,7916,0
Precinct,Provisional,49,198,0,247,0
Locality,Alleghany County,4441,1599,3,6043,0
Precinct,##ev - Central Absentee Precinct,396,247,0,643,0
Precinct,##pe - Central Absentee Precinct,1,1,0,2,0
Precinct,101 - Arritt,450,87,0,537,0
Precinct,103 - Dameron,175,29,0,204,0
Precinct,201 - Humpback Bridge,254,48,0,302,0
Precinct,202 - Dolly Ann,319,69,1,389,0
Precinct,301 - Callaghan,286,36,0,322,0
Precinct,302 - Griffith,429,117,0,546,0
Precinct,401 - Low Moor,295,66,0,361,0
Precinct,402 - Jackson Heights,348,89,0,437,0
Precinct,501 - Iron Gate,143,63,0,206,0
Precinct,502 - Peters Switch,517,123,0,640,0
Precinct,601 - District 1,455,235,0,690,0
Precinct,701 - District 2,271,179,0,450,0
Precinct,Ab - Central Absentee Precinct,102,210,2,314,0
Precinct,Provisional,0,0,0,0,0
Locality,Amelia County,4681,1652,2,6335,0
Precinct,##ev - Central Absentee Precinct,1364,596,1,1961,0
Precinct,##pe - Central Absentee Precinct,6,6,0,12,0
Precinct,101 - Number One,605,135,0,740,0
Precinct,201 - Number Two,660,194,0,854,0
Precinct,301 - Number Three,640,155,0,795,0
Precinct,401 - Number Four,576,130,0,706,0
Precinct,501 - Number Five,732,274,1,1007,0
Precinct,Ab - Central Absentee Precinct,98,158,0,256,0
Precinct,Provisional,0,4,0,4,0
Locality,Amherst County,9607,4015,7,13629,0
Precinct,##ev - Central Absentee Precinct,1966,1058,0,3024,0
Precinct,##pe - Central Absentee Precinct,4,8,0,12,0
Precinct,101 - Wright Shop,379,285,1,665,0
Precinct,102 - New Glasgow,661,168,0,829,0
Precinct,103 - Coolwell,391,74,2,467,0
Precinct,201 - Court House,850,350,1,1201,0
Precinct,202 - Temperance,508,109,0,617,0
Precinct,301 - Monroe,482,125,0,607,0
Precinct,302 - Elon,1214,285,1,1500,0
Precinct,303 - Pleasant View,294,70,0,364,0
Precinct,401 - Amelon,1083,348,1,1432,0
Precinct,402 - Lonco,321,86,0,407,0
Precinct,501 - Madison,1089,435,1,1525,0
Precinct,AB - Central Absentee Precinct,362,611,0,973,0
Precinct,Provisional,3,3,0,6,0
