,,Glenn Allen Youngkin,Terence Richard McAuliffe,Princess Latece Teira Blanding,Write-Ins,Total Votes Cast,Undervotes
,,Republican,Democratic,Liberation,,,
State,Virginia,1663158,1599470,23107,2592,3288327,0
Locality,Accomack County,7878,4948,67,4,12897,0
Precinct,##ev - Central Absentee Precinct,1708,2230,12,0,3950,0
Precinct,##pe - Central Absentee Precinct,14,16,0,0,30,0
Precinct,101 - Chincoteague,983,326,8,1,1318,0
Precinct,201 - Atlantic,418,62,2,0,482,0
Precinct,202 - Greenbackville,687,151,3,0,841,0
Precinct,301 - New Church,424,218,6,0,648,0
Precinct,401 - Bloxom,282,65,1,0,348,0
Precinct,402 - Parksley,370,100,0,0,470,0
Precinct,403 - Saxis,129,21,1,0,151,0
Precinct,501 - Mappsville,158,112,5,1,276,0
Precinct,502 - Rue,88,115,3,0,206,0
Precinct,601 - Accomac,399,146,4,1,550,0
Precinct,602 - Tangier,154,11,1,1,167,0
Precinct,701 - Nandua,530,222,3,0,755,0
Precinct,801 - Bobtown,273,101,0,0,374,0
Precinct,802 - Melfa,305,152,5,0,462,0
Precinct,803 - Wachapreague,277,67,1,0,345,0
Precinct,901 - Painter,483,397,4,0,884,0
Precinct,Ab - Central Absentee Precinct,195,436,8,0,639,0
Precinct,Provisional,1,0,0,0,1,0
Locality,Albemarle County,19141,31919,347,36,51443,0
Precinct,##ev - Central Absentee Precinct,4154,9319,49,7,13529,0
Precinct,##pe - Central Absentee Precinct,89,343,5,0,437,0
Precinct,101 - Woodbrook,493,775,15,1,1284,0
Precinct,103 - Branchlands,122,249,5,1,377,0
Precinct,104 - Agnor-hurt,270,591,9,3,873,0
Precinct,105 - Dunlora,408,922,6,0,1336,0
Precinct,106 - Northside,772,815,10,1,1598,0
Precinct,201 - Jack Jouett,579,671,10,1,1261,0
Precinct,202 - University,149,491,11,1,652,0
Precinct,203 - Georgetown,281,688,11,2,982,0
Precinct,301 - Ivy,730,1079,6,1,1816,0
Precinct,302 - Red Hill,658,674,9,2,1343,0
Precinct,304 - East Ivy,179,251,1,0,431,0
Precinct,305 - Country Green,380,559,10,0,949,0
Precinct,306 - Porters,395,392,11,0,798,0
Precinct,307 - Yellow Mountain,188,183,9,0,380,0
Precinct,401 - Scottsville,545,274,3,0,822,0
Precinct,402 - Monticello,447,240,5,1,693,0
Precinct,405 - Mountain View,338,815,10,1,1164,0
Precinct,406 - Stone Robinson,776,490,6,0,1272,0
Precinct,407 - Biscuit Run,177,369,12,0,558,0
Precinct,501 - Keswick,347,346,2,1,696,0
Precinct,502 - Stony Point,451,351,5,0,807,0
Precinct,503 - Hollymead,521,745,10,3,1279,0
Precinct,504 - Free Bridge,289,508,5,0,802,0
Precinct,506 - Baker-butler,752,764,12,0,1528,0
Precinct,507 - Pantops,396,503,4,1,904,0
Precinct,601 - Crozet,758,789,12,0,1559,0
Precinct,602 - Free Union,458,350,1,0,809,0
Precinct,603 - Earlysville,893,755,8,0,1656,0
Precinct,604 - Brownsville,575,718,12,2,1307,0
Precinct,606 - Mechums River,682,906,5,2,1595,0
Precinct,Ab - Central Absentee Precinct,857,4880,56,5,5798,0
Precinct,Provisional,32,114,2,0,148,0
Locality,Alexandria City,14013,43866,385,66,58330,0
Precinct,##ev - Central Absentee Precinct,3630,12940,65,12,16647,0
Precinct,##pe - Central Absentee Precinct,110,678,14,2,804,0
Precinct,101 - Ladrey Senior Building,277,416,3,0,696,0
Precinct,102 - City Hall,331,413,2,1,747,0
Precinct,103 - Lyles Crouch School,446,784,8,0,1238,0
Precinct,104 - Durant Center,269,708,8,3,988,0
Precinct,105 - Lee Center,237,547,5,1,790,0
Precinct,106 - Cora Kelly,339,1091,13,2,1445,0
Precinct,107 - Mt Vernon Recreation Center,372,1507,7,3,1889,0
Precinct,108 - George Washington Middle Sch,344,1344,17,0,1705,0
Precinct,109 - Fire Department Headquarters,305,695,5,1,1006,0
Precinct,110 - Charles Houston Center,276,946,11,2,1235,0
Precinct,111 - Potomac Yard,173,458,4,2,637,0
Precinct,112 - Alex Renew,207,502,4,1,714,0
Precinct,201 - Naomi L. Brooks School,340,959,5,2,1306,0
Precinct,202 - George Mason School,441,855,7,3,1306,0
Precinct,203 - Charles Barrett Center,308,904,7,2,1221,0
Precinct,204 - Blessed Sacrament Church,408,884,3,1,1296,0
Precinct,205 - Douglas Macarthur School,394,804,9,2,1209,0
Precinct,206 - Chinquapin Park Recreation Ctr,285,671,2,1,959,0
Precinct,207 - Temple Beth El Synagogue,481,922,10,1,1414,0
Precinct,208 - Nova Arts Center,346,923,8,0,1277,0
Precinct,209 - James K Polk School,298,993,6,2,1299,0
Precinct,210 - The Hermitage,184,352,3,0,539,0
Precinct,302 - Patrick Henry Rec Center,202,635,6,4,847,0
Precinct,303 - Charles E Beatley Library,200,575,8,2,785,0
Precinct,304 - Samuel Tucker School,215,660,15,2,892,0
Precinct,305 - John Adams School,255,713,5,2,975,0
Precinct,306 - William Ramsay School,266,826,15,1,1108,0
Precinct,307 - South Port,287,758,15,3,1063,0
Precinct,308 - Cameron Station Community Ctr,448,887,10,1,1346,0
Precinct,309 - Olympus Condo,165,554,8,1,728,0
Precinct,Ab - Central Absentee Precinct,1118,6769,74,6,7967,0
Precinct,Provisional,56,193,3,0,252,0
Locality,Alleghany County,4530,1518,26,5,6079,0
Precinct,##ev - Central Absentee Precinct,396,253,3,0,652,0
Precinct,##pe - Central Absentee Precinct,1,1,0,0,2,0
Precinct,101 - Arritt,461,77,3,0,541,0
Precinct,103 - Dameron,181,23,1,0,205,0
Precinct,201 - Humpback Bridge,260,45,1,0,306,0
Precinct,202 - Dolly Ann,321,65,1,3,390,0
Precinct,301 - Callaghan,294,29,1,0,324,0
Precinct,302 - Griffith,442,105,1,0,548,0
Precinct,401 - Low Moor,295,67,0,0,362,0
Precinct,402 - Jackson Heights,359,82,0,0,441,0
Precinct,501 - Iron Gate,147,59,2,0,208,0
Precinct,502 - Peters Switch,530,106,2,2,640,0
Precinct,601 - District 1,462,228,1,0,691,0
Precinct,701 - District 2,274,175,5,0,454,0
Precinct,Ab - Central Absentee Precinct,107,203,5,0,315,0
Precinct,Provisional,0,0,0,0,0,0
Locality,Amelia County,4720,1617,23,2,6362,0
Precinct,##ev - Central Absentee Precinct,1372,590,4,1,1967,0
Precinct,##pe - Central Absentee Precinct,5,6,2,0,13,0
Precinct,101 - Number One,601,139,1,0,741,0
Precinct,201 - Number Two,673,185,1,0,859,0
Precinct,301 - Number Three,644,146,5,0,795,0
Precinct,401 - Number Four,586,123,2,0,711,0
Precinct,501 - Number Five,737,269,7,1,1014,0
Precinct,Ab - Central Absentee Precinct,101,156,1,0,258,0
Precinct,Provisional,1,3,0,0,4,0
Locality,Amherst County,9731,3897,72,6,13706,0
Precinct,##ev - Central Absentee Precinct,1996,1036,7,1,3040,0
Precinct,##pe - Central Absentee Precinct,4,8,0,0,12,0
Precinct,101 - Wright Shop,391,276,3,0,670,0
Precinct,102 - New Glasgow,668,162,3,0,833,0
