,,Winsome Earle Sears,Hala Sophia Ayala,Write-Ins,Total Votes Cast,Undervotes
,,Republican,Democratic,,,
State,Virginia,1658332,1608030,3807,3270169,0
Locality,Accomack County,7838,4954,5,12797,0
Precinct,##ev - Central Absentee Precinct,1708,2212,1,3921,0
Precinct,##pe - Central Absentee Precinct,13,17,0,30,0
Precinct,101 - Chincoteague,976,326,0,1302,0
Precinct,201 - Atlantic,404,73,0,477,0
Precinct,202 - Greenbackville,684,156,1,841,0
Precinct,301 - New Church,424,220,0,644,0
Precinct,401 - Bloxom,276,65,1,342,0
Precinct,402 - Parksley,361,104,0,465,0
Precinct,403 - Saxis,127,23,0,150,0
Precinct,501 - Mappsville,159,112,1,272,0
Precinct,502 - Rue,89,114,0,203,0
Precinct,601 - Accomac,400,146,0,546,0
Precinct,602 - Tangier,159,8,0,167,0
Precinct,701 - Nandua,526,222,1,749,0
Precinct,801 - Bobtown,272,99,0,371,0
Precinct,802 - Melfa,301,160,0,461,0
Precinct,803 - Wachapreague,274,70,0,344,0
Precinct,901 - Painter,477,406,0,883,0
Precinct,Ab - Central Absentee Precinct,207,421,0,628,0
Precinct,Provisional,1,0,0,1,0
Locality,Albemarle County,19465,31561,50,51076,0
Precinct,##ev - Central Absentee Precinct,4242,9202,10,13454,0
Precinct,##pe - Central Absentee Precinct,85,345,0,430,0
Precinct,101 - Woodbrook,514,758,2,1274,0
Precinct,103 - Branchlands,125,249,0,374,0
Precinct,104 - Agnor-hurt,275,586,5,866,0
Precinct,105 - Dunlora,412,917,0,1329,0
Precinct,106 - Northside,775,805,1,1581,0
Precinct,201 - Jack Jouett,571,670,1,1242,0
Precinct,202 - University,151,491,0,642,0
Precinct,203 - Georgetown,289,681,0,970,0
Precinct,301 - Ivy,752,1059,2,1813,0
Precinct,302 - Red Hill,661,677,0,1338,0
Precinct,304 - East Ivy,180,248,0,428,0
Precinct,305 - Country Green,386,553,0,939,0
Precinct,306 - Porters,391,397,2,790,0
Precinct,307 - Yellow Mountain,191,187,0,378,0
Precinct,401 - Scottsville,555,262,1,818,0
Precinct,402 - Monticello,448,237,2,687,0
Precinct,405 - Mountain View,356,798,2,1156,0
Precinct,406 - Stone Robinson,780,479,1,1260,0
Precinct,407 - Biscuit Run,172,379,2,553,0
Precinct,501 - Keswick,357,335,0,692,0
Precinct,502 - Stony Point,449,350,1,800,0
Precinct,503 - Hollymead,535,737,1,1273,0
Precinct,504 - Free Bridge,305,485,0,790,0
Precinct,506 - Baker-butler,733,781,3,1517,0
Precinct,507 - Pantops,398,499,2,899,0
Precinct,601 - Crozet,772,776,0,1548,0
Precinct,602 - Free Union,450,347,2,799,0
Precinct,603 - Earlysville,914,728,3,1645,0
Precinct,604 - Brownsville,596,701,1,1298,0
Precinct,606 - Mechums River,693,889,2,1584,0
Precinct,Ab - Central Absentee Precinct,918,4841,4,5763,0
Precinct,Provisional,34,112,0,146,0
Locality,Alexandria City,13730,43983,104,57817,0
Precinct,##ev - Central Absentee Precinct,3586,12929,21,16536,0
Precinct,##pe - Central Absentee Precinct,118,670,2,790,0
Precinct,101 - Ladrey Senior Building,264,427,1,692,0
Precinct,102 - City Hall,318,407,0,725,0
