,,Sydney Mark Lee Keam,Kevin Edward McGrath,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,,,
State House District,35,24226,10975,49,35250,0
Locality,Fairfax County,24226,10975,49,35250,0
Precinct,204 - Madison,221,124,0,345,0
Precinct,213 - Vienna #1,1062,641,3,1706,0
Precinct,214 - Vienna #2,894,507,1,1402,0
Precinct,216 - Vienna #4,402,271,0,673,0
Precinct,218 - Vienna #6,573,363,0,936,0
Precinct,701 - Blake,994,510,1,1505,0
Precinct,704 - Freedom Hill,613,340,2,955,0
Precinct,720 - Thoreau,767,479,1,1247,0
Precinct,726 - Magarity,837,416,2,1255,0
Precinct,727 - Oakton,585,456,3,1044,0
Precinct,729 - Nottoway,630,330,2,962,0
Precinct,730 - Penderbrook,926,577,4,1507,0
Precinct,731 - Tysons,674,378,4,1056,0
Precinct,732 - Oak Marr,745,685,1,1431,0
Precinct,733 - Kilmer,964,502,2,1468,0
Precinct,734 - Hunters Branch,389,194,2,585,0
Precinct,735 - Rotonda,323,193,0,516,0
Precinct,802 - Cedar Lake,275,168,2,445,0
Precinct,844 - Centerpointe,489,287,4,780,0
Precinct,Provisional,93,43,0,136,0
