,,Gerald Edward Connolly,James G. Myles,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,,,
Congressional District,11,193190,95634,852,289676,0
Locality,Fairfax City,6384,3235,24,9643,0
Precinct,##ev - Central Absentee Precinct,1970,873,4,2847,0
Precinct,##pe - Central Absentee Precinct,46,7,1,54,0
Precinct,1 - One,515,335,4,854,0
Precinct,2 - Two,614,391,4,1009,0
Precinct,3 - Three,643,455,0,1098,0
Precinct,4 - Four,462,295,4,761,0
Precinct,5 - Five,548,320,4,872,0
Precinct,6 - Six,534,349,0,883,0
Precinct,Ab - Central Absentee Precinct (CD 11),945,179,1,1125,0
Precinct,Provisional,107,31,0,138,0
Locality,Fairfax County,186806,92399,828,280033,0
Precinct,##ev - Central Absentee Precinct,38965,16687,120,55772,0
Precinct,##pe - Central Absentee Precinct,5273,1125,17,6415,0
Precinct,104 - Chapel,671,445,3,1119,0
Precinct,105 - Fairview,1015,659,6,1680,0
Precinct,108 - Kings Park,864,528,7,1399,0
Precinct,109 - Little Run,439,255,1,695,0
Precinct,113 - Canterbury,1046,617,3,1666,0
Precinct,114 - Olde Creek,552,349,8,909,0
Precinct,115 - Ravensworth,513,347,4,864,0
Precinct,116 - Wakefield,703,357,5,1065,0
Precinct,117 - Woodson #1,454,309,1,764,0
Precinct,118 - Lake Braddock,1021,521,6,1548,0
Precinct,119 - Laurel,1008,609,7,1624,0
Precinct,120 - Sideburn #1,279,212,0,491,0
Precinct,121 - Villa,465,340,6,811,0
Precinct,123 - Robinson,994,651,4,1649,0
Precinct,125 - Signal Hill,751,490,4,1245,0
Precinct,126 - Bonnie Brae,682,366,6,1054,0
Precinct,127 - Burke Centre,1101,586,4,1691,0
Precinct,128 - Cardinal,631,348,1,980,0
Precinct,129 - Keene Mill,473,323,2,798,0
Precinct,130 - Terra Centre,647,359,5,1011,0
Precinct,131 - Eagle View #1,398,194,0,592,0
Precinct,132 - Monument,769,344,4,1117,0
Precinct,134 - University,213,39,0,252,0
Precinct,135 - Irving,708,411,2,1121,0
Precinct,136 - Woodson #2,233,154,2,389,0
Precinct,137 - Sideburn #2,490,364,5,859,0
Precinct,138 - Eagle View #2,314,334,2,650,0
Precinct,201 - Armstrong,1006,392,3,1401,0
Precinct,202 - Flint Hill #1,397,267,0,664,0
Precinct,203 - Floris,972,656,3,1631,0
Precinct,204 - Madison,225,128,2,355,0
Precinct,208 - Reston #1,1047,406,2,1455,0
Precinct,209 - Reston #2,1078,383,6,1467,0
Precinct,213 - Vienna #1,1155,637,9,1801,0
Precinct,214 - Vienna #2,909,472,5,1386,0
Precinct,216 - Vienna #4,444,224,1,669,0
Precinct,218 - Vienna #6,626,322,1,949,0
Precinct,219 - Westbriar #1,465,269,6,740,0
Precinct,220 - Dogwood,1003,487,7,1497,0
Precinct,221 - Hunters Woods,840,352,3,1195,0
Precinct,222 - Reston #3,692,178,4,874,0
Precinct,223 - Glade,1091,365,3,1459,0
Precinct,224 - South Lakes,1283,408,7,1698,0
Precinct,225 - Hughes,970,327,6,1303,0
Precinct,226 - Wolftrap,1049,572,7,1628,0
Precinct,227 - Sunrise Valley #1,604,260,4,868,0
Precinct,229 - Fox Mill #1,1133,697,6,1836,0
Precinct,233 - North Point,587,371,4,962,0
Precinct,234 - Aldrin,783,343,6,1132,0
Precinct,235 - Frying Pan,781,371,2,1154,0
Precinct,236 - Stuart,394,220,1,615,0
Precinct,237 - Mcnair,876,341,7,1224,0
Precinct,238 - Cameron Glen,678,396,1,1075,0
Precinct,240 - Colvin,536,397,0,933,0
Precinct,241 - Flint Hill #2,446,226,2,674,0
Precinct,242 - Westbriar #2,414,268,0,682,0
Precinct,243 - Sunrise Valley #2,255,186,1,442,0
Precinct,244 - Fox Mill #2,123,99,0,222,0
Precinct,245 - Piney Run,238,166,1,405,0
