,,Kamala D. Harris,Donald J. Trump,Jill E. Stein,Chase R. Oliver,Cornel R. West,Claudia De la Cruz,Write-Ins,Total Votes Cast
,,Democratic,Republican,Green,Libertarian,Independent,Independent,,
State,Virginia,2335395,2075085,34888,19814,8984,8410,23365,4505941
Locality,Accomack County,7374,9659,36,41,17,17,32,17176
Precinct,101 - Chincoteague,776,1406,2,6,1,1,7,2199
Precinct,201 - Atlantic,207,549,1,4,1,0,0,762
Precinct,202 - Greenbackville,396,939,4,1,1,0,2,1343
Precinct,301 - New Church,868,731,3,6,6,1,2,1617
Precinct,401 - Bloxom,194,487,1,4,1,2,2,691
Precinct,402 - Parksley,262,496,1,1,0,3,1,764
Precinct,403 - Saxis,44,175,0,0,1,0,0,220
Precinct,501 - Mappsville,406,292,5,0,0,1,0,704
Precinct,502 - Rue,440,151,0,0,0,0,1,592
Precinct,601 - Accomac,609,860,6,3,2,2,3,1485
Precinct,602 - Tangier,24,200,0,0,0,2,1,227
Precinct,701 - Nandua,1009,1140,8,4,2,2,5,2170
Precinct,801 - Bobtown,250,465,2,1,0,0,3,721
Precinct,802 - Melfa,462,421,1,2,0,2,1,889
Precinct,803 - Wachapreague,184,404,0,5,1,0,0,594
Precinct,901 - Painter,1137,792,1,3,1,1,4,1939
Precinct,Provisional,106,151,1,1,0,0,0,259
Locality,Albemarle County,44279,21513,366,378,100,104,484,67224
Precinct,101 - Woodbrook,1569,704,13,9,3,4,29,2331
Precinct,103 - Branchlands,618,232,9,5,2,2,4,872
Precinct,104 - Agnor-hurt,1320,446,24,15,5,6,8,1824
Precinct,105 - Dunlora,2330,618,17,22,6,3,22,3018
Precinct,106 - Northside,1395,905,11,13,4,4,12,2344
Precinct,201 - Jack Jouett,1908,931,10,11,2,2,18,2882
Precinct,202 - University,1185,256,10,4,2,1,4,1462
Precinct,203 - Georgetown,1696,478,18,13,5,7,12,2229
Precinct,301 - Ivy,2392,916,11,29,2,0,21,3371
Precinct,302 - Red Hill,1587,942,10,19,4,2,16,2580
Precinct,304 - East Ivy,610,273,7,5,0,3,11,909
Precinct,305 - Country Green,1776,644,19,17,5,3,17,2481
Precinct,306 - Porters,750,531,5,4,1,3,6,1300
Precinct,307 - Yellow Mountain,639,412,3,9,1,2,4,1070
Precinct,401 - Scottsville,648,765,4,10,0,3,5,1435
Precinct,402 - Monticello,558,667,6,4,2,2,4,1243
Precinct,405 - Mountain View,2606,729,16,20,3,5,20,3399
Precinct,406 - Stone Robinson,1639,1218,14,21,5,1,32,2930
Precinct,407 - Biscuit Run,1177,367,13,7,1,3,11,1579
Precinct,501 - Keswick,722,518,5,0,0,3,6,1254
Precinct,502 - Stony Point,761,576,6,3,1,1,10,1358
Precinct,503 - Hollymead,1699,707,9,8,7,9,28,2467
Precinct,504 - Free Bridge,1316,439,9,11,2,1,17,1795
Precinct,506 - Baker-butler,2512,1361,24,21,9,4,25,3956
Precinct,507 - Pantops,1279,502,9,12,5,2,25,1834
Precinct,601 - Crozet,1968,1150,13,15,6,5,16,3173
Precinct,602 - Free Union,641,553,3,6,2,2,9,1216
Precinct,603 - Earlysville,1597,1146,12,8,1,4,22,2790
Precinct,604 - Brownsville,1779,909,12,8,3,5,27,2743
Precinct,606 - Mechums River,2254,953,13,38,4,7,22,3291
Precinct,ALBEMARLE COUNTY PROVISIONALS,1348,665,31,11,7,5,21,2088
Locality,Alexandria City,62326,16112,825,410,211,178,842,80904
