,,Timothy M. Kaine,Hung Cao,Write-Ins,Total Votes Cast
,,Democratic,Republican,,
State,Virginia,2417115,2019911,8509,4445535
Locality,Accomack County,7672,9339,26,17037
Precinct,101 - Chincoteague,831,1340,4,2175
Precinct,201 - Atlantic,222,532,1,755
Precinct,202 - Greenbackville,397,928,2,1327
Precinct,301 - New Church,892,717,4,1613
Precinct,401 - Bloxom,223,464,2,689
Precinct,402 - Parksley,284,478,0,762
Precinct,403 - Saxis,53,165,1,219
Precinct,501 - Mappsville,414,279,2,695
Precinct,502 - Rue,441,146,0,587
Precinct,601 - Accomac,638,832,1,1471
Precinct,602 - Tangier,42,189,0,231
Precinct,701 - Nandua,1035,1116,1,2152
Precinct,801 - Bobtown,257,465,1,723
Precinct,802 - Melfa,476,403,1,880
Precinct,803 - Wachapreague,192,392,2,586
Precinct,901 - Painter,1161,756,2,1919
Precinct,Provisional,114,137,2,253
Locality,Albemarle County,43968,21912,76,65956
Precinct,101 - Woodbrook,1558,727,3,2288
Precinct,103 - Branchlands,613,236,1,850
Precinct,104 - Agnor-hurt,1344,442,3,1789
Precinct,105 - Dunlora,2313,654,3,2970
Precinct,106 - Northside,1388,916,1,2305
Precinct,201 - Jack Jouett,1882,956,0,2838
Precinct,202 - University,1142,274,3,1419
Precinct,203 - Georgetown,1693,474,3,2170
Precinct,301 - Ivy,2338,1004,4,3346
Precinct,302 - Red Hill,1589,935,3,2527
Precinct,304 - East Ivy,593,304,0,897
Precinct,305 - Country Green,1765,666,5,2436
Precinct,306 - Porters,762,492,2,1256
Precinct,307 - Yellow Mountain,640,414,0,1054
Precinct,401 - Scottsville,672,729,1,1402
Precinct,402 - Monticello,584,636,1,1221
Precinct,405 - Mountain View,2599,763,8,3370
Precinct,406 - Stone Robinson,1608,1278,3,2889
Precinct,407 - Biscuit Run,1174,373,1,1548
Precinct,501 - Keswick,709,513,1,1223
Precinct,502 - Stony Point,744,577,0,1321
Precinct,503 - Hollymead,1668,764,3,2435
Precinct,504 - Free Bridge,1304,446,2,1752
Precinct,506 - Baker-butler,2479,1394,9,3882
Precinct,507 - Pantops,1255,550,2,1807
Precinct,601 - Crozet,1988,1132,1,3121
Precinct,602 - Free Union,645,542,1,1188
Precinct,603 - Earlysville,1596,1151,4,2751
Precinct,604 - Brownsville,1757,941,1,2699
Precinct,606 - Mechums River,2243,1006,4,3253
Precinct,ALBEMARLE COUNTY PROVISIONALS,1323,623,3,1949
Locality,Alexandria City,62597,17175,222,79994
Precinct,101 - Old Town North,2233,678,3,2914
Precinct,102 - City Hall,1691,777,5,2473
Precinct,103 - Lyles Crouch School,2162,780,9,2951
Precinct,104 - Durant Center,1913,511,8,2432
Precinct,105 - Lee Center,1733,498,3,2234
Precinct,106 - Cora Kelly,2517,495,9,3021
Precinct,107 - Mt Vernon Recreation Center,3065,531,13,3609
Precinct,108 - George Washington Middle Sch,2928,571,9,3508
Precinct,109 - Fire Department Headquarters,1668,492,4,2164
Precinct,110 - Charles Houston Center,2707,594,7,3308
