,,"Gerald E. ""Gerry"" Connolly",Mike L. Van Meter,Write-Ins,Total Votes Cast
,,Democratic,Republican,,
Congressional District,11,273529,134802,1855,410186
Locality,Fairfax City,8804,4434,66,13304
Precinct,1 - One,1222,645,10,1877
Precinct,2 - Two,1547,760,12,2319
Precinct,3 - Three,1839,970,12,2821
Precinct,4 - Four,1387,687,12,2086
Precinct,5 - Five,1297,679,6,1982
Precinct,6 - Six,1289,596,11,1896
Precinct,Provisional,223,97,3,323
Locality,Fairfax County,264725,130368,1789,396882
Precinct,104 - Chapel,1368,671,3,2042
Precinct,105 - Fairview,2530,1283,14,3827
Precinct,108 - Kings Park,1699,847,11,2557
Precinct,109 - Little Run,840,412,11,1263
Precinct,113 - Canterbury,2125,966,13,3104
Precinct,114 - Olde Creek,1208,630,7,1845
Precinct,115 - Ravensworth,884,511,6,1401
Precinct,116 - Wakefield,1385,551,3,1939
Precinct,117 - Woodson #1,960,523,7,1490
Precinct,118 - Lake Braddock,2150,989,12,3151
Precinct,119 - Laurel,2169,1067,16,3252
Precinct,120 - Sideburn #1,539,310,1,850
Precinct,121 - Villa,1075,595,7,1677
Precinct,123 - Robinson,2534,1185,21,3740
Precinct,125 - Signal Hill,1804,840,12,2656
Precinct,126 - Bonnie Brae,1347,580,12,1939
Precinct,127 - Burke Centre,2416,1086,18,3520
Precinct,128 - Cardinal,1226,593,15,1834
Precinct,129 - Keene Mill,967,479,5,1451
Precinct,130 - Terra Centre,1321,616,1,1938
Precinct,131 - Eagle View #1,873,405,6,1284
Precinct,132 - Monument,2420,1062,16,3498
Precinct,134 - University,568,96,3,667
Precinct,135 - Irving,1507,689,5,2201
Precinct,136 - Woodson #2,553,311,6,870
Precinct,137 - Sideburn #2,1093,628,8,1729
Precinct,138 - Eagle View #2,1006,615,5,1626
Precinct,201 - Armstrong,2329,764,5,3098
Precinct,202 - Flint Hill #1,838,450,5,1293
Precinct,203 - Floris,2059,1055,9,3123
Precinct,204 - Madison,510,224,7,741
Precinct,208 - Reston #1,2494,829,15,3338
Precinct,209 - Reston #2,2414,786,14,3214
Precinct,213 - Vienna #1,2434,1048,16,3498
Precinct,214 - Vienna #2,1949,882,14,2845
Precinct,216 - Vienna #4,904,374,2,1280
Precinct,218 - Vienna #6,1486,552,5,2043
Precinct,219 - Westbriar #1,1010,478,5,1493
Precinct,220 - Dogwood,2376,950,15,3341
Precinct,221 - Hunters Woods,1770,607,9,2386
Precinct,222 - Reston #3,1464,332,4,1800
Precinct,223 - Glade,2385,715,6,3106
Precinct,224 - South Lakes,2919,841,7,3767
Precinct,225 - Hughes,2342,643,20,3005
Precinct,226 - Wolftrap,2000,961,8,2969
Precinct,227 - Sunrise Valley #1,1273,479,5,1757
Precinct,229 - Fox Mill #1,2258,1129,12,3399
Precinct,233 - North Point,1398,713,7,2118
Precinct,234 - Aldrin,1806,622,5,2433
Precinct,235 - Frying Pan,1737,696,15,2448
Precinct,236 - Stuart,800,340,6,1146
Precinct,237 - Mcnair,2225,823,12,3060
Precinct,238 - Cameron Glen,2455,1041,8,3504
Precinct,240 - Colvin,1279,781,4,2064
Precinct,241 - Flint Hill #2,911,399,6,1316
Precinct,242 - Westbriar #2,967,492,2,1461
Precinct,243 - Sunrise Valley #2,542,307,4,853
Precinct,244 - Fox Mill #2,281,195,1,477
Precinct,245 - Piney Run,540,322,5,867
Precinct,304 - Cooper,1109,768,7,1884
Precinct,306 - Great Falls,1006,736,6,1748
Precinct,309 - Kenmore,1909,1212,18,3139
Precinct,319 - Herndon #1,2167,1001,21,3189
Precinct,320 - Herndon #2,2123,976,13,3112
Precinct,321 - Clearview,2138,1119,28,3285
Precinct,322 - Forestville,1414,1242,12,2668
Precinct,323 - Shouse,1218,629,12,1859
Precinct,324 - Herndon #3,1931,878,12,2821
Precinct,325 - Hutchison,1136,444,8,1588
Precinct,327 - Sugarland,1830,1088,14,2932
Precinct,328 - Hickory,1648,1145,9,2802
Precinct,329 - Seneca,1568,1288,21,2877
Precinct,331 - Spring Hill,1187,683,4,1874
Precinct,332 - Coates,2869,1168,25,4062
Precinct,403 - Forestdale,698,307,6,1011
Precinct,409 - Pioneer,1783,921,24,2728
Precinct,415 - Crestwood,1191,775,11,1977
Precinct,417 - Garfield,1598,999,16,2613
Precinct,418 - Lynbrook #1,842,504,7,1353
Precinct,419 - Lane,1300,508,14,1822
Precinct,422 - Van Dorn,2095,790,7,2892
Precinct,426 - Greenspring,1194,352,1,1547
Precinct,427 - Island Creek,1619,611,6,2236
Precinct,431 - West Springfield,1707,784,15,2506
Precinct,432 - Edison #2,1832,711,15,2558
Precinct,522 - Camelot,1188,608,4,1800
Precinct,528 - Ridgelea,343,141,2,486
Precinct,617 - Lorton,1866,753,27,2646
Precinct,618 - Newington #1,1063,691,7,1761
Precinct,622 - Lorton Station,1909,768,21,2698
Precinct,623 - Alban,1397,681,12,2090
Precinct,628 - Laurel Hill #1,1630,733,21,2384
Precinct,629 - South County,1320,605,8,1933
Precinct,630 - Army,1211,607,9,1827
Precinct,631 - Pohick Creek,1148,585,5,1738
Precinct,632 - Halley #1,453,410,2,865
Precinct,633 - Halley #2,148,112,0,260
Precinct,634 - Newington #2,1593,749,13,2355
Precinct,636 - Laurel Hill #2,726,341,3,1070
Precinct,701 - Blake,2507,1020,24,3551
Precinct,704 - Freedom Hill,1360,542,17,1919
Precinct,707 - Mantua,1462,549,8,2019
Precinct,709 - Mosby #1,1219,524,11,1754
Precinct,711 - Price,1188,533,10,1731
Precinct,714 - Walker,1921,843,12,2776
Precinct,718 - Pine Ridge,1254,579,7,1840
Precinct,720 - Thoreau,1762,722,9,2493
Precinct,721 - Merrifield,2407,690,10,3107
Precinct,723 - Gallows East,1256,456,6,1718
Precinct,726 - Magarity,2461,1026,17,3504
