,,Saddam Azlan Salim,"Kenneth D. ""Ken"" Reid",Write-Ins,Total Votes Cast
,,Democratic,Republican,,
State Senate District,37,40947,18427,238,59612
Locality,Fairfax City,4724,2620,73,7417
Precinct,1 - One,645,359,6,1010
Precinct,2 - Two,864,490,18,1372
Precinct,3 - Three,1001,572,17,1590
Precinct,4 - Four,843,451,11,1305
Precinct,5 - Five,691,377,11,1079
Precinct,6 - Six,617,356,10,983
Precinct,Provisional,63,15,0,78
Locality,Fairfax County,32090,14751,151,46992
Precinct,204 - Madison,264,127,2,393
Precinct,213 - Vienna #1,1438,715,5,2158
Precinct,214 - Vienna #2,1148,552,4,1704
Precinct,216 - Vienna #4,516,240,2,758
Precinct,218 - Vienna #6,863,373,3,1239
Precinct,219 - Westbriar #1,566,295,3,864
Precinct,241 - Flint Hill #2,515,286,7,808
Precinct,244 - Fox Mill #2,191,125,2,318
Precinct,315 - Pimmit,914,467,6,1387
Precinct,317 - Westhampton,328,192,1,521
Precinct,512 - Sleepy Hollow,1075,458,1,1534
Precinct,515 - Westlawn,449,182,1,632
Precinct,525 - Walnut Hill,916,458,4,1378
Precinct,535 - Fort Buffalo,546,172,1,719
Precinct,701 - Blake,1340,545,4,1889
Precinct,704 - Freedom Hill,753,360,4,1117
Precinct,705 - Graham-Greenway,1155,406,4,1565
Precinct,708 - Marshall,1545,529,5,2079
Precinct,709 - Mosby #1,619,295,3,917
Precinct,710 - Pine Spring,682,277,3,962
Precinct,712 - Shreve,606,234,3,843
Precinct,713 - Timber Lane,903,320,1,1224
Precinct,714 - Walker,997,483,4,1484
Precinct,720 - Thoreau,1109,487,7,1603
Precinct,721 - Merrifield,1188,305,5,1498
Precinct,723 - Gallows East,566,204,2,772
Precinct,726 - Magarity,1071,477,10,1558
Precinct,727 - Oakton,792,562,9,1363
Precinct,729 - Nottoway,1272,478,7,1757
Precinct,731 - Tysons,386,145,3,534
Precinct,732 - Oaktree Crossing,1111,782,5,1898
Precinct,733 - Kilmer,1311,526,7,1844
Precinct,734 - Hunters Branch,954,354,4,1312
Precinct,735 - Rotonda,338,179,3,520
Precinct,737 - Mosby #2,275,111,2,388
Precinct,738 - Jones Branch,386,176,2,564
Precinct,856 - Penderbrook,0,0,0,0
Precinct,857 - Island Pond,43,26,0,69
Precinct,914 - Vale,887,571,4,1462
Precinct,916 - Waples Mill,1446,988,4,2438
Precinct,929 - Difficult Run,165,138,0,303
Precinct,Provisional,461,151,4,616
Locality,Falls Church City,4133,1056,14,5203
Precinct,001 - 1st Ward,1290,322,4,1616
Precinct,002 - 2nd Ward,1261,342,8,1611
Precinct,003 - 3rd Ward,1516,377,2,1895
Precinct,FALLS CHURCH CITY PROVISIONALS,66,15,0,81
