,,Holly M. Seibold,Write-Ins,Total Votes Cast
,,Democratic,,
State House District,12,18550,1519,20069
Locality,Fairfax County,18550,1519,20069
Precinct,204 - Madison,302,26,328
Precinct,213 - Vienna #1,1681,132,1813
Precinct,214 - Vienna #2,1325,98,1423
Precinct,216 - Vienna #4,589,46,635
Precinct,218 - Vienna #6,988,67,1055
Precinct,219 - Westbriar #1,650,68,718
Precinct,528 - Ridgelea,255,22,277
Precinct,704 - Freedom Hill,846,72,918
Precinct,707 - Mantua,961,74,1035
Precinct,711 - Price,790,77,867
Precinct,714 - Walker,1135,99,1234
Precinct,718 - Pine Ridge,687,64,751
Precinct,720 - Thoreau,1226,122,1348
Precinct,721 - Merrifield,1272,78,1350
Precinct,726 - Magarity,1207,92,1299
Precinct,729 - Nottoway,1389,98,1487
Precinct,731 - Tysons,418,38,456
Precinct,733 - Kilmer,1448,128,1576
Precinct,735 - Rotonda,373,37,410
Precinct,737 - Mosby #2,304,21,325
Precinct,738 - Jones Branch,447,44,491
Precinct,Provisional,257,16,273
