,,Ghazala F. Hashmi,"John J. Reid, II",Write-Ins,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,,
State,Virginia,1900104,1505395,8678,3414177,3414177
Locality,Accomack County,5658,7303,9,12970,12970
Precinct,101 - Chincoteague,597,1059,1,1657,1657
Precinct,201 - Atlantic,169,428,2,599,599
Precinct,202 - Greenbackville,322,735,1,1058,1058
Precinct,301 - New Church,580,528,0,1108,1108
Precinct,401 - Bloxom,150,343,1,494,494
Precinct,402 - Parksley,208,392,1,601,601
Precinct,403 - Saxis,42,120,0,162,162
Precinct,501 - Mappsville,281,218,0,499,499
Precinct,502 - Rue,320,134,1,455,455
Precinct,601 - Accomac,474,647,0,1121,1121
Precinct,602 - Tangier,12,125,0,137,137
Precinct,701 - Nandua,837,934,0,1771,1771
Precinct,801 - Bobtown,190,388,0,578,578
Precinct,802 - Melfa,358,310,0,668,668
Precinct,803 - Wachapreague,163,315,1,479,479
Precinct,901 - Painter,955,627,1,1583,1583
Locality,Albemarle County,37931,17477,104,55512,55512
Precinct,101 - Woodbrook,1367,616,2,1985,1985
Precinct,103 - Branchlands,493,180,2,675,675
Precinct,104 - Agnor-hurt,1098,332,5,1435,1435
Precinct,105 - Dunlora,2049,559,5,2613,2613
Precinct,106 - Northside,1197,725,5,1927,1927
Precinct,201 - Jack Jouett,1633,812,2,2447,2447
Precinct,202 - University,1622,251,5,1878,1878
Precinct,203 - Georgetown,1425,316,0,1741,1741
Precinct,301 - Ivy,2050,833,5,2888,2888
Precinct,302 - Red Hill,1373,760,2,2135,2135
Precinct,304 - East Ivy,510,264,4,778,778
Precinct,305 - Country Green,1578,552,5,2135,2135
Precinct,306 - Porters,635,400,4,1039,1039
Precinct,307 - Yellow Mountain,529,358,2,889,889
Precinct,401 - Scottsville,603,623,1,1227,1227
Precinct,402 - Monticello,490,507,4,1001,1001
Precinct,405 - Mountain View,2338,599,3,2940,2940
Precinct,406 - Stone Robinson,1385,1098,2,2485,2485
Precinct,407 - Biscuit Run,963,245,2,1210,1210
Precinct,501 - Keswick,600,412,0,1012,1012
Precinct,502 - Stony Point,667,503,3,1173,1173
Precinct,503 - Hollymead,1542,622,1,2165,2165
Precinct,504 - Free Bridge,1177,368,2,1547,1547
Precinct,506 - Baker-butler,2188,1098,5,3291,3291
Precinct,507 - Pantops,1135,432,1,1568,1568
Precinct,601 - Crozet,1743,926,8,2677,2677
Precinct,602 - Free Union,558,438,3,999,999
Precinct,603 - Earlysville,1406,1004,5,2415,2415
Precinct,604 - Brownsville,1538,791,7,2336,2336
Precinct,606 - Mechums River,2039,853,9,2901,2901
Locality,Alexandria City,50422,11785,203,62410,62410
Precinct,101 - Old Town North,1815,543,7,2365,2365
Precinct,102 - City Hall,1397,666,10,2073,2073
Precinct,103 - Lyles Crouch School,1767,617,7,2391,2391
Precinct,104 - Durant Center,1662,431,5,2098,2098
Precinct,105 - Lee Center,1463,359,7,1829,1829
Precinct,106 - Cora Kelly,2142,319,8,2469,2469
Precinct,107 - Mt Vernon Recreation Center,2809,436,10,3255,3255
Precinct,108 - George Washington Middle Sch,2583,492,7,3082,3082
Precinct,109 - Fire Department Headquarters,1410,414,7,1831,1831
Precinct,110 - Charles Houston Center,2267,402,13,2682,2682
Precinct,111 - Potomac Yard,995,229,1,1225,1225
Precinct,201 - Naomi L. Brooks School,1642,350,9,2001,2001
Precinct,202 - Trinity,1570,564,4,2138,2138
Precinct,203 - Charles Barrett Center,1551,372,9,1932,1932
Precinct,204 - Blessed Sacrament Church,1692,491,9,2192,2192
