,,Holly M. Seibold,Nelson Figueroa-Velez,Write-Ins,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,,
State House District,12,25670,7793,88,33551,33551
Locality,Fairfax County,25670,7793,88,33551,33551
Precinct,204 - Madison,432,138,1,571,571
Precinct,213 - Vienna #1,2074,704,7,2785,2785
Precinct,214 - Vienna #2,1695,590,1,2286,2286
Precinct,216 - Vienna #4,782,229,2,1013,1013
Precinct,218 - Vienna #6,1275,352,3,1630,1630
Precinct,219 - Westbriar #1,803,313,0,1116,1116
Precinct,528 - Ridgelea,296,105,2,403,403
Precinct,704 - Freedom Hill,1130,372,2,1504,1504
Precinct,707 - Mantua,1227,430,10,1667,1667
Precinct,711 - Price,963,341,4,1308,1308
Precinct,714 - Walker,1609,523,8,2140,2140
Precinct,718 - Pine Ridge,1045,396,3,1444,1444
Precinct,720 - Thoreau,1555,496,4,2055,2055
Precinct,721 - Merrifield,1940,336,7,2283,2283
Precinct,726 - Magarity,1951,562,4,2517,2517
Precinct,729 - Nottoway,1876,484,9,2369,2369
Precinct,731 - Tysons,1084,294,4,1382,1382
Precinct,733 - Kilmer,2175,555,11,2741,2741
Precinct,735 - Rotonda,516,222,3,741,741
Precinct,737 - Mosby #2,442,119,1,562,562
Precinct,738 - Jones Branch,800,232,2,1034,1034
