,,Mark Rankin Herring,Mark Dudley Obenshain,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,,,
State,Virginia,1103777,1103612,4892,2212281,0
Precinct,Ab - Central Absentee Precinct (CD 3),1182,191,0,1373,0
Precinct,Ab - Central Absentee Precinct (CD 7),304,220,1,525,0
Locality,Accomack County,3789,5184,16,8989,0
Precinct,101 - Chincoteague,353,693,0,1046,0
Precinct,201 - Atlantic,128,342,1,471,0
Precinct,202 - Greenbackville,177,364,0,541,0
Precinct,301 - Oak Hall,325,316,1,642,0
Precinct,401 - Bloxom,89,220,0,309,0
Precinct,402 - Parksley,131,331,2,464,0
Precinct,403 - Saxis,31,64,0,95,0
Precinct,501 - Mappsville,172,150,0,322,0
Precinct,502 - Rue,212,81,0,293,0
Precinct,601 - Accomac,299,412,2,713,0
Precinct,602 - Tangier,16,145,1,162,0
Precinct,701 - Onancock,383,488,2,873,0
Precinct,702 - Onley,182,229,1,412,0
Precinct,801 - Bobtown,157,279,3,439,0
Precinct,802 - Melfa,241,247,0,488,0
Precinct,803 - Wachapreague,120,223,0,343,0
Precinct,901 - Painter,605,418,3,1026,0
Precinct,Ab - Central Absentee Precinct,168,182,0,350,0
Precinct,Provisional,0,0,0,0,0
Locality,Albemarle County,19876,14679,44,34599,0
Precinct,101 - Woodbrook,797,661,4,1462,0
Precinct,103 - Branchlands,338,177,0,515,0
Precinct,104 - Agnor-hurt,715,339,1,1055,0
Precinct,105 - Dunlora,815,521,2,1338,0
Precinct,106 - Northside,718,722,1,1441,0
Precinct,201 - Jack Jouett,592,484,1,1077,0
Precinct,202 - University Hall,719,306,0,1025,0
Precinct,203 - Georgetown,715,271,1,987,0
Precinct,204 - Belfield,360,284,0,644,0
Precinct,301 - Ivy,1287,874,2,2163,0
Precinct,302 - Red Hill,842,550,0,1392,0
Precinct,304 - East Ivy,328,255,0,583,0
Precinct,305 - Country Green,648,415,2,1065,0
Precinct,306 - Porters,416,239,0,655,0
Precinct,307 - Yellow Mountain,179,156,0,335,0
Precinct,401 - Scottsville,321,405,1,727,0
Precinct,402 - Monticello,324,325,0,649,0
Precinct,405 - Cale,1323,564,3,1890,0
Precinct,406 - Stone Robinson,656,910,0,1566,0
Precinct,501 - Keswick,367,303,1,671,0
Precinct,502 - Stony Point,408,394,0,802,0
Precinct,503 - Hollymead,623,565,1,1189,0
Precinct,504 - Free Bridge,1033,641,3,1677,0
Precinct,506 - Baker-butler,770,758,3,1531,0
Precinct,601 - Crozet,1107,813,4,1924,0
Precinct,602 - Free Union,374,320,2,696,0
Precinct,603 - Earlysville,803,831,5,1639,0
Precinct,604 - Brownsville,1070,848,1,1919,0
Precinct,Ab - Central Absentee Precinct,1209,735,6,1950,0
Precinct,Provisional,19,13,0,32,0
Locality,Alexandria City,30279,10423,115,40817,0
Precinct,101 - Ladrey Senior Building,652,325,2,979,0
