,,Mark Lee Keam,Leiann Kirkland Leppin,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,,,
State House District,35,14632,7961,61,22654,0
Locality,Fairfax County,14632,7961,61,22654,0
Precinct,204 - Madison,246,110,3,359,0
Precinct,213 - Vienna #1,1205,661,3,1869,0
Precinct,214 - Vienna #2,990,532,4,1526,0
Precinct,216 - Vienna #4,469,222,1,692,0
Precinct,218 - Vienna #6,721,335,1,1057,0
Precinct,701 - Blake,1143,584,2,1729,0
Precinct,704 - Freedom Hill,600,348,2,950,0
Precinct,719 - Stenwood,352,176,0,528,0
Precinct,720 - Thoreau,558,351,2,911,0
Precinct,726 - Magarity,799,405,1,1205,0
Precinct,727 - Oakton,729,544,1,1274,0
Precinct,729 - Nottoway,1043,480,5,1528,0
Precinct,730 - Penderbrook,745,478,3,1226,0
Precinct,731 - Tysons,544,321,2,867,0
Precinct,732 - Oak Marr,893,677,3,1573,0
Precinct,733 - Kilmer,1030,502,0,1532,0
Precinct,734 - Hunters Branch,459,235,0,694,0
Precinct,802 - Cedar Lake,263,156,1,420,0
Precinct,844 - Centerpointe,536,302,1,839,0
Precinct,Provisional,16,7,23,46,0
