,,Gerald Edward Connolly,Suzanne Kristine Scholte,Marc McCullough Harrold,Joseph Francis Galdo,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,Libertarian,Green,,,
Congressional District,11,106780,75796,3264,1739,226,187805,0
Locality,Fairfax City,3599,3162,127,83,4,6975,0
Precinct,1 - One,475,429,22,18,0,944,0
Precinct,2 - Two,524,509,23,6,1,1063,0
Precinct,3 - Three,721,631,21,18,1,1392,0
Precinct,4 - Four,609,529,22,13,0,1173,0
Precinct,5 - Five,508,403,16,13,1,941,0
Precinct,6 - Six,463,376,17,11,1,868,0
Precinct,Ab - Central Absentee Precinct,296,284,6,4,0,590,0
Precinct,Provisional,3,1,0,0,0,4,0
Locality,Fairfax County,82065,60164,2606,1406,192,146433,0
Precinct,104 - Chapel,639,534,28,7,3,1211,0
Precinct,105 - Fairview,1088,934,29,23,1,2075,0
Precinct,106 - Heritage,742,356,24,13,2,1137,0
Precinct,108 - Kings Park,608,546,18,23,0,1195,0
Precinct,109 - Little Run,839,727,19,29,2,1616,0
Precinct,110 - North Springfield,884,710,34,16,3,1647,0
Precinct,113 - Canterbury,1125,875,28,29,1,2058,0
Precinct,115 - Ravensworth,401,372,22,12,0,807,0
Precinct,116 - Wakefield,699,499,15,11,2,1226,0
Precinct,117 - Woodson,665,562,14,18,2,1261,0
Precinct,118 - Lake Braddock,915,611,29,7,3,1565,0
Precinct,119 - Laurel,938,828,34,20,0,1820,0
Precinct,120 - Sideburn,728,857,18,11,0,1614,0
Precinct,121 - Villa,395,387,16,7,1,806,0
Precinct,123 - Robinson,947,851,28,19,3,1848,0
Precinct,125 - Signal Hill,812,658,21,11,0,1502,0
Precinct,126 - Bonnie Brae,539,445,22,12,1,1019,0
Precinct,127 - Burke Centre,942,757,31,21,1,1752,0
Precinct,128 - Cardinal,530,392,20,11,3,956,0
Precinct,129 - Keene Mill,398,332,15,8,0,753,0
Precinct,130 - Terra Centre,614,520,26,8,2,1170,0
Precinct,131 - Eagle View,688,586,29,7,0,1310,0
Precinct,132 - Monument,659,475,23,21,0,1178,0
Precinct,133 - Danbury,182,124,7,6,0,319,0
Precinct,134 - University,343,168,29,15,3,558,0
Precinct,202 - Flint Hill,782,729,15,15,2,1543,0
Precinct,203 - Floris,883,757,23,12,1,1676,0
Precinct,204 - Madison,216,128,10,3,0,357,0
Precinct,208 - Reston #1,763,286,21,13,1,1084,0
Precinct,209 - Reston #2,927,367,23,24,4,1345,0
Precinct,213 - Vienna #1,1063,776,26,16,2,1883,0
Precinct,214 - Vienna #2,839,643,26,11,5,1524,0
Precinct,216 - Vienna #4,394,296,14,8,0,712,0
Precinct,218 - Vienna #6,633,376,17,12,0,1038,0
Precinct,219 - Westbriar,791,733,21,12,0,1557,0
Precinct,220 - Dogwood,1040,510,40,17,2,1609,0
Precinct,221 - Hunters Woods,882,529,18,12,0,1441,0
Precinct,222 - Reston #3,752,230,24,14,3,1023,0
Precinct,223 - Glade,1224,551,43,24,2,1844,0
Precinct,224 - South Lakes,1393,620,32,23,2,2070,0
Precinct,225 - Terraset,994,396,35,24,4,1453,0
Precinct,226 - Wolftrap,952,854,30,5,4,1845,0
Precinct,227 - Sunrise Valley,475,412,21,9,1,918,0
Precinct,233 - North Point,1133,856,33,22,0,2044,0
Precinct,234 - Aldrin,1233,946,27,17,3,2226,0
Precinct,235 - Frying Pan,663,382,22,19,3,1089,0
