,,Hillary R. Clinton,Donald J. Trump,Gary Johnson,Evan McMullin,Jill Stein,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,Libertarian,Independent,Green,,,
State,Virginia,1981473,1769443,118274,54054,27638,33749,3984631,0
Locality,Accomack County,6740,8583,264,112,66,53,15818,0
Precinct,101 - Chincoteague,444,1188,26,10,7,5,1680,0
Precinct,201 - Atlantic,175,553,13,7,1,1,750,0
Precinct,202 - Greenbackville,302,697,17,4,7,3,1030,0
Precinct,301 - New Church,713,592,21,4,3,5,1338,0
Precinct,401 - Bloxom,141,342,9,3,1,0,496,0
Precinct,402 - Parksley,218,489,16,7,5,1,736,0
Precinct,403 - Saxis,42,153,1,3,1,0,200,0
Precinct,501 - Mappsville,397,243,10,1,7,5,663,0
Precinct,502 - Rue,385,119,9,4,2,2,521,0
Precinct,601 - Accomac,486,637,16,13,8,4,1164,0
Precinct,602 - Tangier,27,221,1,1,1,2,253,0
Precinct,701 - Nandua,805,976,35,19,7,14,1856,0
Precinct,801 - Bobtown,202,369,12,3,4,4,594,0
Precinct,802 - Melfa,436,392,14,5,0,3,850,0
Precinct,803 - Wachapreague,138,349,6,2,0,1,496,0
Precinct,901 - Painter,1042,618,24,10,4,0,1698,0
Precinct,Ab - Central Absentee Precinct,784,644,32,16,8,3,1487,0
Precinct,Provisional,3,1,2,0,0,0,6,0
Locality,Albemarle County,33345,19259,2105,1059,450,508,56726,0
Precinct,101 - Woodbrook,1192,680,82,23,14,21,2012,0
Precinct,103 - Branchlands,546,208,23,5,10,5,797,0
Precinct,104 - Agnor-hurt,1106,406,47,33,23,12,1627,0
Precinct,105 - Dunlora,1363,592,61,61,17,19,2113,0
Precinct,106 - Northside,1161,901,101,60,9,16,2248,0
Precinct,201 - Jack Jouett,897,531,38,32,13,17,1528,0
Precinct,202 - University Hall,1851,407,149,48,22,19,2496,0
Precinct,203 - Georgetown,1338,398,66,40,21,23,1886,0
Precinct,204 - Belfield,431,290,37,16,2,8,784,0
Precinct,301 - Ivy,1692,818,78,44,19,12,2663,0
Precinct,302 - Red Hill,1103,738,56,17,18,19,1951,0
Precinct,304 - East Ivy,397,245,25,18,3,4,692,0
Precinct,305 - Country Green,957,555,57,37,18,19,1643,0
Precinct,306 - Porters,588,388,32,6,21,6,1041,0
Precinct,307 - Yellow Mountain,261,202,17,13,5,8,506,0
Precinct,401 - Scottsville,445,590,41,12,12,6,1106,0
Precinct,402 - Monticello,445,547,25,8,11,10,1046,0
Precinct,405 - Cale,2198,805,142,77,33,33,3288,0
Precinct,406 - Stone Robinson,909,997,73,40,14,19,2052,0
Precinct,501 - Keswick,538,397,21,9,7,12,984,0
Precinct,502 - Stony Point,534,530,38,19,6,10,1137,0
Precinct,503 - Hollymead,971,654,69,49,13,21,1777,0
Precinct,504 - Free Bridge,1627,823,114,49,20,27,2660,0
Precinct,506 - Baker-butler,1117,938,89,62,21,17,2244,0
Precinct,601 - Crozet,1576,1081,122,36,22,25,2862,0
Precinct,602 - Free Union,484,444,25,11,6,9,979,0
Precinct,603 - Earlysville,1061,1045,82,43,15,23,2269,0
Precinct,604 - Brownsville,1802,1192,152,69,14,26,3255,0
Precinct,Ab - Central Absentee Precinct,4707,1828,238,120,39,61,6993,0
Precinct,Provisional,48,29,5,2,2,1,87,0
Locality,Alexandria City,57242,13285,2020,1398,592,1233,75770,0
Precinct,101 - Ladrey Senior Building,971,349,39,29,12,23,1423,0
Precinct,102 - City Hall,879,413,52,22,7,56,1429,0
Precinct,103 - Lyles Crouch School,1504,497,58,36,17,35,2147,0
Precinct,104 - Durant Center,1293,271,59,47,9,38,1717,0
Precinct,105 - Lee Center,1696,480,79,53,15,43,2366,0
Precinct,106 - Cora Kelly Center,2301,380,95,75,19,32,2902,0
Precinct,107 - Mt Vernon Recreation Center,2384,486,88,79,23,52,3112,0
Precinct,108 - George Washington Middle Sch,2165,397,91,85,25,49,2812,0
Precinct,109 - Fire Department Headquarters,1012,351,65,46,13,28,1515,0
Precinct,110 - Charles Houston Center,1488,246,66,42,23,22,1887,0
Precinct,201 - Maury School,1294,299,49,36,14,37,1729,0
Precinct,202 - George Mason School,1228,404,45,55,7,58,1797,0
Precinct,203 - Agudas Achim Synagogue,1482,296,45,52,14,28,1917,0
Precinct,204 - Blessed Sacrament Church,1186,391,49,40,14,50,1730,0
Precinct,205 - Douglas Macarthur School,1566,500,77,54,9,58,2264,0
Precinct,206 - Chinquapin Park Recreation Ctr,1239,356,44,31,13,26,1709,0
Precinct,207 - Temple Beth El Synagogue,1557,519,68,46,17,40,2247,0
Precinct,208 - Nova Arts Center,1722,389,60,37,30,23,2261,0
Precinct,209 - James K Polk School,1835,414,49,40,17,23,2378,0
Precinct,210 - The Hermitage,805,274,29,32,8,14,1162,0
Precinct,302 - Patrick Henry Rec Center,1407,247,48,31,22,19,1774,0
Precinct,303 - Charles E Beatley Library,1599,298,38,17,19,27,1998,0
Precinct,304 - Samuel Tucker School,2246,413,71,47,31,30,2838,0
Precinct,305 - John Adams School,1843,320,38,28,20,24,2273,0
Precinct,306 - William Ramsay School,1985,285,37,20,21,19,2367,0
Precinct,307 - South Port,1376,350,26,18,18,14,1802,0
Precinct,308 - Cameron Station Community Ctr,1408,545,67,42,16,41,2119,0
Precinct,Ab - Central Absentee Precinct,15677,3069,484,251,138,321,19940,0
Precinct,Provisional,94,46,4,7,1,3,155,0
Locality,Alleghany County,2166,4874,164,69,35,17,7325,0
Precinct,101 - Arritt,138,521,12,7,2,1,681,0
Precinct,103 - Dameron,51,196,2,4,1,0,254,0
Precinct,201 - Humpback Bridge,103,290,3,8,0,4,408,0
Precinct,202 - Dolly Ann,129,360,18,3,0,2,512,0
Precinct,301 - Callaghan,74,325,7,0,1,0,407,0
Precinct,302 - Griffith,176,450,20,2,1,1,650,0
Precinct,401 - Low Moor,137,335,11,6,2,1,492,0
Precinct,402 - Jackson Heights,141,461,14,12,3,1,632,0
Precinct,501 - Iron Gate,104,155,9,3,1,1,273,0
Precinct,502 - Peters Switch,188,551,16,7,6,0,768,0
Precinct,601 - District 1,397,527,27,6,6,1,964,0
Precinct,701 - District 2,324,371,15,9,8,5,732,0
Precinct,Ab - Central Absentee Precinct,203,331,10,2,4,0,550,0
Precinct,Provisional,1,1,0,0,0,0,2,0
Locality,Amelia County,2128,4708,129,41,11,23,7040,0
Precinct,101 - Number One,334,740,27,8,3,2,1114,0
Precinct,201 - Number Two,400,834,21,10,2,7,1274,0
Precinct,301 - Number Three,302,892,22,1,1,4,1222,0
Precinct,401 - Number Four,302,839,23,9,1,6,1180,0
Precinct,501 - Number Five,497,888,22,6,4,1,1418,0
Precinct,Ab - Central Absentee Precinct,287,511,14,7,0,3,822,0
Precinct,Provisional,6,4,0,0,0,0,10,0
Locality,Amherst County,5057,9719,317,159,65,79,15396,0
Precinct,101 - Wright Shop,549,435,13,6,1,2,1006,0
Precinct,102 - New Glasgow,426,799,22,18,5,6,1276,0
Precinct,103 - Coolwell,121,492,14,10,2,2,641,0
Precinct,201 - Court House,721,1112,56,27,14,10,1940,0
Precinct,202 - Temperance,200,569,13,7,4,6,799,0
Precinct,301 - Monroe,217,594,21,10,2,3,847,0
Precinct,302 - Elon,474,1450,36,12,8,12,1992,0
Precinct,303 - Pleasant View,110,322,11,2,2,3,450,0
Precinct,401 - Amelon,711,1487,53,26,14,12,2303,0
Precinct,402 - Lonco,194,386,8,9,0,4,601,0
Precinct,501 - Madison,815,1419,50,20,6,9,2319,0
Precinct,Ab - Central Absentee Precinct,519,654,20,12,7,10,1222,0
Precinct,Provisional,0,0,0,0,0,0,0,0
Locality,Appomattox County,2023,5715,136,50,31,56,8011,0
Precinct,101 - Vera,104,450,10,3,3,2,572,0
Precinct,102 - Pamplin,282,704,13,7,5,4,1015,0
Precinct,201 - Chap,147,210,5,3,5,1,371,0
Precinct,202 - Spout Spring,208,964,18,2,1,6,1199,0
Precinct,301 - Us 460,164,545,8,6,3,7,733,0
Precinct,302 - Stonewall,214,625,14,8,1,8,870,0
Precinct,401 - Courthouse,329,914,35,9,7,14,1308,0
Precinct,501 - Oakville,299,688,15,3,0,7,1012,0
Precinct,502 - Agee,139,254,4,3,2,3,405,0
Precinct,Ab - Central Absentee Precinct,137,360,14,6,4,4,525,0
Precinct,Provisional,0,1,0,0,0,0,1,0
Locality,Arlington County,92016,20186,3827,2594,819,1914,121356,0
Precinct,1 - Arlington,1297,245,25,20,16,17,1620,0
Precinct,2 - Ashton Heights,1257,275,48,40,12,26,1658,0
Precinct,3 - Aurora Hills,730,249,47,42,7,25,1100,0
Precinct,4 - Ballston,1180,322,98,41,14,34,1689,0
Precinct,5 - Barcroft,1077,280,55,24,7,23,1466,0
Precinct,6 - Crystal City,939,333,35,31,8,22,1368,0
Precinct,7 - Cherrydale,1170,298,55,51,7,31,1612,0
Precinct,8 - Hume,1512,412,83,39,10,38,2094,0
Precinct,9 - Columbia,1450,344,62,41,20,23,1940,0
Precinct,10 - Wilson,1589,376,81,50,24,39,2159,0
Precinct,11 - East Falls Church,786,260,32,22,5,32,1137,0
Precinct,12 - Fairlington,1184,333,63,64,8,47,1699,0
Precinct,13 - Glen Carlyn,906,256,29,14,9,10,1224,0
Precinct,14 - Clarendon,984,224,80,27,8,22,1345,0
Precinct,15 - Lyon Park,1359,341,68,64,10,41,1883,0
Precinct,16 - Lyon Village,1236,311,71,48,9,31,1706,0
Precinct,17 - Overlee Knolls,1251,337,61,50,15,23,1737,0
Precinct,18 - Park Lane,1701,401,122,67,15,44,2350,0
Precinct,19 - Rosslyn,1466,319,63,35,18,41,1942,0
Precinct,20 - Thrifton,893,345,51,37,15,38,1379,0
