,,Gerald Edward Connolly,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,,,
Congressional District,11,247818,34185,282003,0
Locality,Fairfax City,8309,1243,9552,0
Precinct,1 - One,1028,189,1217,0
Precinct,2 - Two,939,161,1100,0
Precinct,3 - Three,1330,253,1583,0
Precinct,4 - Four,1118,156,1274,0
Precinct,5 - Five,973,136,1109,0
Precinct,6 - Six,1024,140,1164,0
Precinct,Ab - Central Absentee Precinct,1891,207,2098,0
Precinct,Provisional,6,1,7,0
Locality,Fairfax County,181460,27533,208993,0
Precinct,104 - Chapel,919,283,1202,0
Precinct,105 - Fairview,1893,456,2349,0
Precinct,106 - Heritage,1652,137,1789,0
Precinct,108 - Kings Park,1010,192,1202,0
Precinct,109 - Little Run,586,151,737,0
Precinct,110 - North Springfield,1735,260,1995,0
Precinct,113 - Canterbury,1696,320,2016,0
Precinct,114 - Olde Creek,766,223,989,0
Precinct,115 - Ravensworth,765,207,972,0
Precinct,116 - Wakefield,999,215,1214,0
Precinct,117 - Woodson,1097,275,1372,0
Precinct,118 - Lake Braddock,1725,257,1982,0
Precinct,119 - Laurel,1697,407,2104,0
Precinct,120 - Sideburn,1179,466,1645,0
Precinct,121 - Villa,853,154,1007,0
Precinct,123 - Robinson,1727,466,2193,0
Precinct,125 - Signal Hill,1235,237,1472,0
Precinct,126 - Bonnie Brae,1023,255,1278,0
Precinct,127 - Burke Centre,1885,370,2255,0
Precinct,128 - Cardinal,986,196,1182,0
Precinct,129 - Keene Mill,770,122,892,0
Precinct,130 - Terra Centre,1024,239,1263,0
Precinct,131 - Eagle View,1289,189,1478,0
Precinct,132 - Monument,1586,141,1727,0
Precinct,133 - Danbury,323,54,377,0
Precinct,134 - University,2028,99,2127,0
Precinct,201 - Armstrong,1457,316,1773,0
Precinct,202 - Flint Hill,1138,293,1431,0
Precinct,203 - Floris,1558,235,1793,0
Precinct,204 - Madison,388,47,435,0
Precinct,208 - Reston #1,1389,295,1684,0
Precinct,209 - Reston #2,1415,127,1542,0
Precinct,213 - Vienna #1,1582,287,1869,0
Precinct,214 - Vienna #2,1247,191,1438,0
Precinct,216 - Vienna #4,707,102,809,0
Precinct,218 - Vienna #6,958,119,1077,0
Precinct,219 - Westbriar,1347,221,1568,0
Precinct,220 - Dogwood,1765,171,1936,0
Precinct,221 - Hunters Woods,1136,142,1278,0
Precinct,222 - Reston #3,1020,77,1097,0
Precinct,223 - Glade,1710,158,1868,0
Precinct,224 - South Lakes,2000,253,2253,0
Precinct,225 - Hughes,1769,141,1910,0
Precinct,226 - Wolftrap,1387,235,1622,0
Precinct,227 - Sunrise Valley,723,121,844,0
Precinct,233 - North Point,1270,313,1583,0
Precinct,234 - Aldrin,1155,136,1291,0
Precinct,235 - Frying Pan,1291,196,1487,0
Precinct,236 - Stuart,563,165,728,0
Precinct,237 - Mcnair,1768,129,1897,0
Precinct,238 - Cameron Glen,1155,218,1373,0
Precinct,319 - Herndon #1,1799,192,1991,0
Precinct,320 - Herndon #2,1921,175,2096,0
Precinct,324 - Herndon #3,1686,121,1807,0
Precinct,325 - Hutchison,1041,65,1106,0
Precinct,332 - Coates,1538,99,1637,0
Precinct,426 - Greenspring,891,184,1075,0
Precinct,502 - Barcroft,569,84,653,0
Precinct,503 - Belvedere,685,86,771,0
Precinct,504 - Bristow,1178,95,1273,0
Precinct,508 - Masonville,1167,168,1335,0
Precinct,511 - Ravenwood,1029,151,1180,0
Precinct,512 - Sleepy Hollow,589,94,683,0
Precinct,513 - Saint Albans,679,83,762,0
Precinct,518 - Columbia,1184,141,1325,0
Precinct,519 - Hummer,769,79,848,0
Precinct,522 - Camelot,583,160,743,0
Precinct,528 - Ridgelea,520,101,621,0
Precinct,530 - Holmes #2,811,68,879,0
Precinct,618 - Newington,2126,323,2449,0
