,,Ralph Shearer Northam,Edward Walter Gillespie,Clifford Daniel Hyra,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,Libertarian,,,
State,Virginia,1408818,1175732,27987,1528,2614065,0
Locality,Accomack County,4876,5736,54,0,10666,0
Precinct,101 - Chincoteague,411,746,10,0,1167,0
Precinct,201 - Atlantic,130,394,1,0,525,0
Precinct,202 - Greenbackville,203,445,7,0,655,0
Precinct,301 - New Church,357,365,4,0,726,0
Precinct,401 - Bloxom,93,221,1,0,315,0
Precinct,402 - Parksley,192,327,2,0,521,0
Precinct,403 - Saxis,29,107,0,0,136,0
Precinct,501 - Mappsville,235,169,2,0,406,0
Precinct,502 - Rue,240,92,2,0,334,0
Precinct,601 - Accomac,365,460,4,0,829,0
Precinct,602 - Tangier,18,156,0,0,174,0
Precinct,701 - Nandua,729,714,7,0,1450,0
Precinct,801 - Bobtown,186,291,3,0,480,0
Precinct,802 - Melfa,323,249,1,0,573,0
Precinct,803 - Wachapreague,142,266,0,0,408,0
Precinct,901 - Painter,754,457,5,0,1216,0
Precinct,Ab - Central Absentee Precinct,469,277,5,0,751,0
Precinct,Provisional,0,0,0,0,0,0
Locality,Albemarle County,26969,14857,458,24,42308,0
Precinct,101 - Woodbrook,1020,574,20,0,1614,0
Precinct,103 - Branchlands,415,156,4,0,575,0
Precinct,104 - Agnor-hurt,835,285,22,1,1143,0
Precinct,105 - Dunlora,1265,487,21,0,1773,0
Precinct,106 - Northside,968,704,21,0,1693,0
Precinct,201 - Jack Jouett,772,467,15,1,1255,0
Precinct,202 - University Hall,1368,318,14,2,1702,0
Precinct,203 - Georgetown,989,262,14,0,1265,0
Precinct,204 - Belfield,438,290,3,0,731,0
Precinct,301 - Ivy,1563,788,22,3,2376,0
Precinct,302 - Red Hill,1008,571,10,0,1589,0
Precinct,304 - East Ivy,385,237,6,0,628,0
Precinct,305 - Country Green,939,403,15,2,1359,0
Precinct,306 - Porters,485,253,6,0,744,0
Precinct,307 - Yellow Mountain,218,160,5,1,384,0
Precinct,401 - Scottsville,371,420,9,1,801,0
Precinct,402 - Monticello,351,384,7,0,742,0
Precinct,405 - Cale,1882,560,32,2,2476,0
Precinct,406 - Stone Robinson,821,897,10,1,1729,0
Precinct,501 - Keswick,442,316,9,1,768,0
Precinct,502 - Stony Point,484,413,10,1,908,0
Precinct,503 - Hollymead,859,505,21,0,1385,0
Precinct,504 - Free Bridge,1586,719,23,1,2329,0
Precinct,506 - Baker-butler,973,787,31,2,1793,0
Precinct,601 - Crozet,1467,805,30,2,2304,0
Precinct,602 - Free Union,436,343,5,0,784,0
Precinct,603 - Earlysville,980,854,10,1,1845,0
Precinct,604 - Brownsville,1646,1008,34,0,2688,0
Precinct,Ab - Central Absentee Precinct,1977,877,27,2,2883,0
Precinct,Provisional,26,14,2,0,42,0
Locality,Alexandria City,40896,10822,434,37,52189,0
Precinct,101 - Ladrey Senior Building,924,356,7,3,1290,0
Precinct,102 - City Hall,851,479,10,1,1341,0
Precinct,103 - Lyles Crouch School,1401,549,14,0,1964,0
Precinct,104 - Durant Center,1209,274,16,2,1501,0
Precinct,105 - Lee Center,1620,441,16,0,2077,0
Precinct,106 - Cora Kelly,1711,281,25,0,2017,0
Precinct,107 - Mt Vernon Recreation Center,2039,387,17,3,2446,0
Precinct,108 - George Washington Middle Sch,1990,398,24,3,2415,0
Precinct,109 - Fire Department Headquarters,1011,390,11,3,1415,0
Precinct,110 - Charles Houston Center,1231,254,13,1,1499,0
Precinct,111 - Potomac Yard,533,167,15,0,715,0
Precinct,201 - Maury School,1340,372,16,1,1729,0
Precinct,202 - George Mason School,1227,517,12,0,1756,0
Precinct,203 - Agudas Achim Synagogue,1363,309,12,2,1686,0
Precinct,204 - Blessed Sacrament Church,1163,441,10,2,1616,0
Precinct,205 - Douglas Macarthur School,1432,493,20,1,1946,0
Precinct,206 - Chinquapin Park Recreation Ctr,1083,328,9,0,1420,0
Precinct,207 - Temple Beth El Synagogue,1359,509,18,1,1887,0
Precinct,208 - Nova Arts Center,1285,267,18,1,1571,0
Precinct,209 - James K Polk School,1470,336,8,2,1816,0
Precinct,210 - The Hermitage,669,218,6,0,893,0
Precinct,302 - Patrick Henry Rec Center,997,175,12,0,1184,0
Precinct,303 - Charles E Beatley Library,1263,211,16,1,1491,0
Precinct,304 - Samuel Tucker School,1715,258,14,1,1988,0
Precinct,305 - John Adams School,1169,207,14,0,1390,0
Precinct,306 - William Ramsay School,1276,219,12,2,1509,0
Precinct,307 - South Port,1134,279,10,0,1423,0
Precinct,308 - Cameron Station Community Ctr,1354,509,13,0,1876,0
Precinct,Ab - Central Absentee Precinct,5007,1183,46,6,6242,0
Precinct,Provisional,70,15,0,1,86,0
Locality,Alleghany County,1478,2888,36,1,4403,0
Precinct,101 - Arritt,93,295,3,1,392,0
Precinct,103 - Dameron,32,130,2,0,164,0
Precinct,201 - Humpback Bridge,78,178,0,0,256,0
Precinct,202 - Dolly Ann,87,221,2,0,310,0
Precinct,301 - Callaghan,43,191,4,0,238,0
Precinct,302 - Griffith,145,305,4,0,454,0
Precinct,401 - Low Moor,95,216,2,0,313,0
Precinct,402 - Jackson Heights,114,270,4,0,388,0
Precinct,501 - Iron Gate,73,92,2,0,167,0
Precinct,502 - Peters Switch,145,325,2,0,472,0
Precinct,601 - District 1,295,353,6,0,654,0
Precinct,701 - District 2,206,202,4,0,412,0
Precinct,Ab - Central Absentee Precinct,72,110,1,0,183,0
Precinct,Provisional,0,0,0,0,0,0
Locality,Amelia County,1403,3170,40,1,4614,0
Precinct,101 - Number One,208,488,6,0,702,0
Precinct,201 - Number Two,314,613,5,0,932,0
Precinct,301 - Number Three,214,642,12,0,868,0
Precinct,401 - Number Four,213,606,7,0,826,0
Precinct,501 - Number Five,349,602,8,1,960,0
Precinct,Ab - Central Absentee Precinct,105,217,2,0,324,0
Precinct,Provisional,0,2,0,0,2,0
Locality,Amherst County,3258,6431,83,14,9786,0
Precinct,101 - Wright Shop,357,265,2,0,624,0
Precinct,102 - New Glasgow,266,550,7,0,823,0
Precinct,103 - Coolwell,79,323,8,0,410,0
Precinct,201 - Court House,535,864,11,1,1411,0
Precinct,202 - Temperance,148,362,8,0,518,0
Precinct,301 - Monroe,150,416,5,0,571,0
Precinct,302 - Elon,315,1084,13,2,1414,0
Precinct,303 - Pleasant View,88,252,1,0,341,0
Precinct,401 - Amelon,484,983,11,3,1481,0
Precinct,402 - Lonco,111,226,4,0,341,0
Precinct,501 - Madison,517,877,12,1,1407,0
Precinct,Ab - Central Absentee Precinct,208,229,1,7,445,0
Precinct,Provisional,0,0,0,0,0,0
Locality,Appomattox County,1227,3894,50,1,5172,0
Precinct,101 - Vera,69,317,5,0,391,0
Precinct,102 - Pamplin,181,492,7,0,680,0
Precinct,201 - Chap,76,152,2,0,230,0
Precinct,202 - Spout Spring,152,672,9,0,833,0
Precinct,301 - Us 460,98,403,6,0,507,0
Precinct,302 - Stonewall,137,456,5,0,598,0
Precinct,401 - Courthouse,192,589,8,0,789,0
Precinct,501 - Oakville,185,474,5,1,665,0
Precinct,502 - Agee,84,196,2,0,282,0
Precinct,Ab - Central Absentee Precinct,53,142,1,0,196,0
Precinct,Provisional,0,1,0,0,1,0
Locality,Arlington County,68093,16268,801,52,85214,0
Precinct,1 - Arlington,1004,183,10,2,1199,0
Precinct,2 - Ashton Heights,1276,266,14,2,1558,0
Precinct,3 - Aurora Hills,778,295,8,0,1081,0
Precinct,4 - Ballston,1139,274,21,1,1435,0
Precinct,5 - Barcroft,1034,256,20,2,1312,0
