,,Mark Rankin Herring,John Donley Adams,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,,,
State,Virginia,1385390,1209540,2614,2597544,0
Locality,Accomack County,4521,6003,5,10529,0
Precinct,101 - Chincoteague,374,776,2,1152,0
Precinct,201 - Atlantic,119,402,0,521,0
Precinct,202 - Greenbackville,194,454,0,648,0
Precinct,301 - New Church,346,374,1,721,0
Precinct,401 - Bloxom,83,225,0,308,0
Precinct,402 - Parksley,159,347,1,507,0
Precinct,403 - Saxis,29,106,0,135,0
Precinct,501 - Mappsville,220,179,0,399,0
Precinct,502 - Rue,236,94,1,331,0
Precinct,601 - Accomac,330,482,0,812,0
Precinct,602 - Tangier,16,155,0,171,0
Precinct,701 - Nandua,641,782,0,1423,0
Precinct,801 - Bobtown,175,305,0,480,0
Precinct,802 - Melfa,300,267,0,567,0
Precinct,803 - Wachapreague,134,274,0,408,0
Precinct,901 - Painter,713,490,0,1203,0
Precinct,Ab - Central Absentee Precinct,452,291,0,743,0
Precinct,Provisional,0,0,0,0,0
Locality,Albemarle County,26594,15439,26,42059,0
Precinct,101 - Woodbrook,1009,593,0,1602,0
Precinct,103 - Branchlands,409,162,0,571,0
Precinct,104 - Agnor-hurt,843,298,0,1141,0
Precinct,105 - Dunlora,1233,524,1,1758,0
Precinct,106 - Northside,976,711,0,1687,0
Precinct,201 - Jack Jouett,766,484,1,1251,0
Precinct,202 - University Hall,1327,347,2,1676,0
Precinct,203 - Georgetown,976,277,1,1254,0
Precinct,204 - Belfield,428,297,0,725,0
Precinct,301 - Ivy,1521,834,0,2355,0
Precinct,302 - Red Hill,1000,578,2,1580,0
Precinct,304 - East Ivy,383,242,0,625,0
Precinct,305 - Country Green,921,432,2,1355,0
Precinct,306 - Porters,478,257,1,736,0
Precinct,307 - Yellow Mountain,215,167,0,382,0
Precinct,401 - Scottsville,380,420,0,800,0
Precinct,402 - Monticello,359,379,0,738,0
Precinct,405 - Cale,1864,596,3,2463,0
Precinct,406 - Stone Robinson,804,915,0,1719,0
Precinct,501 - Keswick,432,328,2,762,0
Precinct,502 - Stony Point,469,432,1,902,0
Precinct,503 - Hollymead,829,549,0,1378,0
Precinct,504 - Free Bridge,1574,742,2,2318,0
Precinct,506 - Baker-butler,957,831,0,1788,0
Precinct,601 - Crozet,1445,847,2,2294,0
Precinct,602 - Free Union,428,352,1,781,0
Precinct,603 - Earlysville,942,886,1,1829,0
Precinct,604 - Brownsville,1619,1055,3,2677,0
Precinct,Ab - Central Absentee Precinct,1980,889,1,2870,0
Precinct,Provisional,27,15,0,42,0
Locality,Alexandria City,40306,11463,54,51823,0
Precinct,101 - Ladrey Senior Building,912,372,0,1284,0
Precinct,102 - City Hall,840,490,1,1331,0
Precinct,103 - Lyles Crouch School,1385,568,1,1954,0
Precinct,104 - Durant Center,1180,309,1,1490,0
Precinct,105 - Lee Center,1590,467,2,2059,0
Precinct,106 - Cora Kelly,1681,318,3,2002,0
Precinct,107 - Mt Vernon Recreation Center,2007,420,4,2431,0
Precinct,108 - George Washington Middle Sch,1962,434,5,2401,0
Precinct,109 - Fire Department Headquarters,994,408,3,1405,0
Precinct,110 - Charles Houston Center,1210,275,2,1487,0
Precinct,111 - Potomac Yard,523,189,0,712,0
Precinct,201 - Maury School,1310,405,0,1715,0
Precinct,202 - George Mason School,1195,553,3,1751,0
Precinct,203 - Agudas Achim Synagogue,1337,337,2,1676,0
Precinct,204 - Blessed Sacrament Church,1156,450,1,1607,0
Precinct,205 - Douglas Macarthur School,1410,522,2,1934,0
Precinct,206 - Chinquapin Park Recreation Ctr,1069,340,1,1410,0
Precinct,207 - Temple Beth El Synagogue,1355,520,1,1876,0
Precinct,208 - Nova Arts Center,1269,283,4,1556,0
Precinct,209 - James K Polk School,1441,363,2,1806,0
Precinct,210 - The Hermitage,657,228,2,887,0
Precinct,302 - Patrick Henry Rec Center,982,195,1,1178,0
Precinct,303 - Charles E Beatley Library,1243,225,1,1469,0
Precinct,304 - Samuel Tucker School,1705,265,0,1970,0
Precinct,305 - John Adams School,1148,230,2,1380,0
Precinct,306 - William Ramsay School,1255,237,1,1493,0
Precinct,307 - South Port,1128,277,2,1407,0
Precinct,308 - Cameron Station Community Ctr,1332,527,1,1860,0
Precinct,Ab - Central Absentee Precinct,4957,1242,6,6205,0
Precinct,Provisional,73,14,0,87,0
Locality,Alleghany County,1487,2886,3,4376,0
Precinct,101 - Arritt,96,292,0,388,0
Precinct,103 - Dameron,39,122,0,161,0
Precinct,201 - Humpback Bridge,74,181,0,255,0
Precinct,202 - Dolly Ann,86,223,0,309,0
Precinct,301 - Callaghan,47,191,0,238,0
Precinct,302 - Griffith,143,307,2,452,0
Precinct,401 - Low Moor,101,213,0,314,0
Precinct,402 - Jackson Heights,115,270,0,385,0
Precinct,501 - Iron Gate,75,91,0,166,0
Precinct,502 - Peters Switch,142,328,1,471,0
Precinct,601 - District 1,290,359,0,649,0
Precinct,701 - District 2,207,200,0,407,0
Precinct,Ab - Central Absentee Precinct,72,109,0,181,0
Precinct,Provisional,0,0,0,0,0
Locality,Amelia County,1391,3190,3,4584,0
Precinct,101 - Number One,205,495,0,700,0
Precinct,201 - Number Two,306,617,0,923,0
Precinct,301 - Number Three,218,645,0,863,0
