,,Justin Edward Fairfax,Jill Holtzman Vogel,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,,,
State,Virginia,1368261,1224519,2446,2595538,0
Locality,Accomack County,4468,6055,2,10525,0
Precinct,101 - Chincoteague,369,789,0,1158,0
Precinct,201 - Atlantic,123,394,0,517,0
Precinct,202 - Greenbackville,200,448,0,648,0
Precinct,301 - New Church,347,370,1,718,0
Precinct,401 - Bloxom,80,227,0,307,0
Precinct,402 - Parksley,167,343,0,510,0
Precinct,403 - Saxis,25,109,0,134,0
Precinct,501 - Mappsville,216,180,0,396,0
Precinct,502 - Rue,238,95,0,333,0
Precinct,601 - Accomac,329,479,0,808,0
Precinct,602 - Tangier,11,159,0,170,0
Precinct,701 - Nandua,612,815,0,1427,0
Precinct,801 - Bobtown,168,312,0,480,0
Precinct,802 - Melfa,297,271,0,568,0
Precinct,803 - Wachapreague,122,281,0,403,0
Precinct,901 - Painter,715,490,1,1206,0
Precinct,Ab - Central Absentee Precinct,449,293,0,742,0
Precinct,Provisional,0,0,0,0,0
Locality,Albemarle County,26386,15620,27,42033,0
Precinct,101 - Woodbrook,989,611,3,1603,0
Precinct,103 - Branchlands,409,159,0,568,0
Precinct,104 - Agnor-hurt,842,301,0,1143,0
Precinct,105 - Dunlora,1236,524,0,1760,0
Precinct,106 - Northside,950,732,0,1682,0
Precinct,201 - Jack Jouett,760,487,1,1248,0
Precinct,202 - University Hall,1344,340,1,1685,0
Precinct,203 - Georgetown,977,275,0,1252,0
Precinct,204 - Belfield,416,309,1,726,0
Precinct,301 - Ivy,1511,836,0,2347,0
Precinct,302 - Red Hill,991,587,1,1579,0
Precinct,304 - East Ivy,373,249,0,622,0
Precinct,305 - Country Green,927,424,4,1355,0
Precinct,306 - Porters,475,261,0,736,0
Precinct,307 - Yellow Mountain,210,170,0,380,0
Precinct,401 - Scottsville,368,431,0,799,0
Precinct,402 - Monticello,358,383,0,741,0
Precinct,405 - Cale,1865,599,3,2467,0
Precinct,406 - Stone Robinson,791,928,0,1719,0
Precinct,501 - Keswick,433,327,2,762,0
Precinct,502 - Stony Point,454,442,1,897,0
Precinct,503 - Hollymead,831,543,1,1375,0
Precinct,504 - Free Bridge,1551,764,1,2316,0
Precinct,506 - Baker-butler,964,822,1,1787,0
Precinct,601 - Crozet,1423,867,2,2292,0
Precinct,602 - Free Union,415,365,0,780,0
Precinct,603 - Earlysville,923,903,2,1828,0
Precinct,604 - Brownsville,1611,1062,1,2674,0
Precinct,Ab - Central Absentee Precinct,1963,904,2,2869,0
Precinct,Provisional,26,15,0,41,0
Locality,Alexandria City,40342,11468,56,51866,0
Precinct,101 - Ladrey Senior Building,911,374,1,1286,0
Precinct,102 - City Hall,829,505,1,1335,0
Precinct,103 - Lyles Crouch School,1374,578,1,1953,0
Precinct,104 - Durant Center,1178,314,2,1494,0
Precinct,105 - Lee Center,1598,469,0,2067,0
Precinct,106 - Cora Kelly,1689,312,2,2003,0
Precinct,107 - Mt Vernon Recreation Center,2013,414,5,2432,0
Precinct,108 - George Washington Middle Sch,1976,422,5,2403,0
Precinct,109 - Fire Department Headquarters,997,405,3,1405,0
Precinct,110 - Charles Houston Center,1211,270,2,1483,0
Precinct,111 - Potomac Yard,524,188,0,712,0
Precinct,201 - Maury School,1322,397,1,1720,0
Precinct,202 - George Mason School,1197,551,3,1751,0
Precinct,203 - Agudas Achim Synagogue,1349,330,1,1680,0
Precinct,204 - Blessed Sacrament Church,1151,457,1,1609,0
Precinct,205 - Douglas Macarthur School,1409,519,4,1932,0
Precinct,206 - Chinquapin Park Recreation Ctr,1063,343,2,1408,0
Precinct,207 - Temple Beth El Synagogue,1363,517,0,1880,0
Precinct,208 - Nova Arts Center,1271,285,4,1560,0
Precinct,209 - James K Polk School,1439,362,1,1802,0
Precinct,210 - The Hermitage,654,234,1,889,0
Precinct,302 - Patrick Henry Rec Center,991,184,2,1177,0
Precinct,303 - Charles E Beatley Library,1252,223,1,1476,0
Precinct,304 - Samuel Tucker School,1701,274,0,1975,0
Precinct,305 - John Adams School,1153,227,0,1380,0
Precinct,306 - William Ramsay School,1270,223,1,1494,0
Precinct,307 - South Port,1116,292,1,1409,0
Precinct,308 - Cameron Station Community Ctr,1328,530,1,1859,0
Precinct,Ab - Central Absentee Precinct,4941,1255,10,6206,0
Precinct,Provisional,72,14,0,86,0
Locality,Alleghany County,1376,2999,2,4377,0
Precinct,101 - Arritt,83,306,0,389,0
Precinct,103 - Dameron,33,128,0,161,0
Precinct,201 - Humpback Bridge,70,186,0,256,0
Precinct,202 - Dolly Ann,76,231,1,308,0
Precinct,301 - Callaghan,44,194,0,238,0
Precinct,302 - Griffith,132,320,0,452,0
Precinct,401 - Low Moor,90,222,1,313,0
Precinct,402 - Jackson Heights,101,284,0,385,0
Precinct,501 - Iron Gate,69,98,0,167,0
Precinct,502 - Peters Switch,137,330,0,467,0
Precinct,601 - District 1,267,382,0,649,0
Precinct,701 - District 2,202,208,0,410,0
Precinct,Ab - Central Absentee Precinct,72,110,0,182,0
Precinct,Provisional,0,0,0,0,0
Locality,Amelia County,1351,3241,2,4594,0
Precinct,101 - Number One,203,499,0,702,0
Precinct,201 - Number Two,301,624,0,925,0
Precinct,301 - Number Three,205,660,1,866,0
Precinct,401 - Number Four,207,617,1,825,0
Precinct,501 - Number Five,332,620,0,952,0
Precinct,Ab - Central Absentee Precinct,103,219,0,322,0
Precinct,Provisional,0,2,0,2,0
Locality,Amherst County,3126,6583,14,9723,0
Precinct,101 - Wright Shop,356,272,0,628,0
Precinct,102 - New Glasgow,253,567,1,821,0
Precinct,103 - Coolwell,74,336,0,410,0
Precinct,201 - Court House,511,889,1,1401,0
Precinct,202 - Temperance,143,372,0,515,0
Precinct,301 - Monroe,147,420,0,567,0
Precinct,302 - Elon,311,1091,0,1402,0
Precinct,303 - Pleasant View,80,258,0,338,0
Precinct,401 - Amelon,448,1024,3,1475,0
Precinct,402 - Lonco,103,236,0,339,0
Precinct,501 - Madison,495,904,2,1401,0
Precinct,Ab - Central Absentee Precinct,205,214,7,426,0
Precinct,Provisional,0,0,0,0,0
Locality,Appomattox County,1155,3989,5,5149,0
Precinct,101 - Vera,66,321,0,387,0
Precinct,102 - Pamplin,164,512,1,677,0
Precinct,201 - Chap,73,156,0,229,0
Precinct,202 - Spout Spring,139,691,0,830,0
Precinct,301 - Us 460,88,419,0,507,0
Precinct,302 - Stonewall,133,459,0,592,0
Precinct,401 - Courthouse,184,599,2,785,0
Precinct,501 - Oakville,169,493,1,663,0
Precinct,502 - Agee,84,197,1,282,0
Precinct,Ab - Central Absentee Precinct,55,141,0,196,0
Precinct,Provisional,0,1,0,1,0
Locality,Arlington County,66818,17615,88,84521,0
Precinct,1 - Arlington,985,197,2,1184,0
Precinct,2 - Ashton Heights,1241,299,2,1542,0
Precinct,3 - Aurora Hills,747,326,2,1075,0
Precinct,4 - Ballston,1127,294,0,1421,0
Precinct,5 - Barcroft,1018,284,1,1303,0
Precinct,6 - Crystal City,792,264,2,1058,0
Precinct,7 - Cherrydale,1178,354,2,1534,0
Precinct,8 - Hume,1282,404,2,1688,0
Precinct,9 - Columbia,1507,338,2,1847,0
Precinct,10 - Wilson,1336,378,0,1714,0
Precinct,11 - East Falls Church,843,276,0,1119,0
Precinct,12 - Fairlington,1225,397,2,1624,0
Precinct,13 - Glen Carlyn,828,204,0,1032,0
Precinct,14 - Clarendon,878,218,1,1097,0
Precinct,15 - Lyon Park,673,169,1,843,0
Precinct,16 - Lyon Village,1213,365,1,1579,0
Precinct,17 - Overlee Knolls,1305,401,2,1708,0
Precinct,18 - Park Lane,1487,398,2,1887,0
Precinct,19 - Rosslyn,1267,301,6,1574,0
Precinct,20 - Thrifton,1116,472,2,1590,0
Precinct,21 - Virginia Highlands,692,249,1,942,0
Precinct,22 - Abingdon,1359,359,4,1722,0
Precinct,23 - Westover,1216,301,0,1517,0
Precinct,24 - Woodlawn,1550,377,1,1928,0
Precinct,25 - Arlington Forest,1074,296,1,1371,0
Precinct,26 - Fillmore,1467,309,6,1782,0
Precinct,27 - Jefferson,1206,320,0,1526,0
Precinct,28 - Wakefield,1360,276,3,1639,0
Precinct,29 - Dominion Hills,1303,322,2,1627,0
Precinct,30 - Glebe,1129,193,2,1324,0
Precinct,31 - Lexington,1236,376,0,1612,0
Precinct,32 - Oakridge,436,193,1,630,0
Precinct,33 - Rock Spring,1200,480,0,1680,0
Precinct,34 - Yorktown,1106,365,1,1472,0
Precinct,35 - Madison,1142,610,3,1755,0
Precinct,36 - Marshall,1248,411,2,1661,0
Precinct,37 - Nottingham,1091,392,1,1484,0
Precinct,38 - Arlington View,1070,181,1,1252,0
Precinct,39 - Ashlawn,726,209,0,935,0
Precinct,40 - Virginia Square,1287,360,3,1650,0
Precinct,41 - Navy League,965,227,4,1196,0
Precinct,42 - Shirlington,1001,228,1,1230,0
Precinct,43 - Campbell,830,112,0,942,0
Precinct,44 - Dawson Terrace,906,170,2,1078,0
Precinct,45 - Buckingham,850,184,0,1034,0
Precinct,46 - Central,1218,340,4,1562,0
Precinct,47 - Four Mile Run,1003,166,1,1170,0
Precinct,48 - Ausa,774,243,0,1017,0
Precinct,49 - Monroe,677,156,0,833,0
Precinct,50 - Crystal Plaza,781,288,2,1071,0
Precinct,51 - Taylor,319,114,0,433,0
Precinct,52 - Gunston,782,203,2,987,0
Precinct,53 - Met Park,907,276,0,1183,0
Precinct,54 - Garfield Park,491,140,0,631,0
Precinct,Ab - Central Absentee Precinct,10291,1829,8,12128,0
Precinct,Provisional,77,21,0,98,0
Locality,Augusta County,5749,17640,17,23406,0
Precinct,101 - Jolivue,193,402,0,595,0
Precinct,102 - Stuarts Draft Elementary,199,465,0,664,0
Precinct,103 - Verona,282,848,1,1131,0
Precinct,201 - Crimora,240,862,0,1102,0
Precinct,202 - New Hope,167,631,0,798,0
Precinct,203 - Weyers Cave,307,857,0,1164,0
Precinct,301 - Fort Defiance,480,1341,1,1822,0
Precinct,302 - North River,105,400,0,505,0
Precinct,303 - Mount Solon,96,548,0,644,0
Precinct,304 - Churchville Fire Station,134,462,0,596,0
Precinct,401 - Buffalo Gap,136,525,0,661,0
Precinct,402 - Churchville Elementary,139,574,1,714,0
Precinct,403 - Craigsville,77,330,0,407,0
Precinct,404 - Deerfield,44,192,0,236,0
Precinct,405 - Cedar Green,255,668,0,923,0
Precinct,501 - Greenville,212,863,0,1075,0
Precinct,502 - Middlebrook,127,425,2,554,0
Precinct,503 - Spottswood,122,449,1,572,0
Precinct,504 - White Hill,234,916,1,1151,0
Precinct,601 - Sherando,168,557,0,725,0
Precinct,602 - Ridgeview,361,1263,2,1626,0
Precinct,603 - Lyndhurst,326,864,2,1192,0
Precinct,801 - Dooms,194,655,1,850,0
Precinct,802 - Fishersville,467,1130,1,1598,0
Precinct,803 - Wilson,387,761,2,1150,0
Precinct,Ab - Central Absentee Precinct,294,644,2,940,0
Precinct,Provisional,3,8,0,11,0
Locality,Bath County,432,1039,1,1472,0
Precinct,101 - Warm Springs,91,159,0,250,0
Precinct,102 - Mountain Grove,10,46,1,57,0
Precinct,201 - Hot Springs,77,139,0,216,0
Precinct,301 - Fairview,42,182,0,224,0
Precinct,302 - Burnsville,11,40,0,51,0
Precinct,401 - Millboro,83,215,0,298,0
Precinct,501 - Healing Springs,84,218,0,302,0
Precinct,Ab - Central Absentee Precinct,34,40,0,74,0
Precinct,Provisional,0,0,0,0,0
Locality,Bedford County,6348,21276,15,27639,0
Precinct,101 - Goodview Elem School (CD 5),199,850,1,1050,0
Precinct,102 - Hardy Vol Fire Co (CD 5),132,376,0,508,0
Precinct,103 - Chamblissburg Baptist Church (CD 5),186,597,0,783,0
Precinct,104 - Stewartsville Rescue Squad (CD 5),140,565,1,706,0
Precinct,201 - Bedford Christian Church (CD 5),92,315,0,407,0
Precinct,202 - Staunton River High School (CD 5),110,452,1,563,0
Precinct,203 - Moneta Elem School (CD 5),290,908,1,1199,0
Precinct,204 - Quaker Baptist Church (CD 5),86,303,0,389,0
Precinct,205 - Saunders Vol Fire Co (CD 5),227,725,0,952,0
Precinct,301 - New London Academy (CD 6),341,1584,0,1925,0
Precinct,302 - Bedford Regional Water Auth (CD 5),159,639,0,798,0
Precinct,303 - Bethesda United Methodist Church (CD 5),119,387,0,506,0
Precinct,304 - Forest Youth Athletic Assoc (CD 6),121,419,1,541,0
Precinct,305 - Huddleston Elem School (CD 5),74,353,0,427,0
Precinct,401 - Forest Elementary School (CD 6),313,1036,3,1352,0
Precinct,402 - Thomas Jefferson Elem School (CD 6),176,556,2,734,0
Precinct,403 - Knights Of Columbus Bldg (CD 6),388,1218,1,1607,0
Precinct,404 - St. Paul Baptist Church (CD 6),226,952,0,1178,0
Precinct,502 - Big Island Elem School (CD 6),78,236,0,314,0
Precinct,503 - Sedalia Center (CD 6),96,314,1,411,0
Precinct,504 - Suck Springs Baptist Church (CD 6),117,509,0,626,0
Precinct,505 - Boonsboro Elementary School (CD 6),340,935,1,1276,0
Precinct,506 - Boonsboro Ruritan Club (CD 6),351,1314,0,1665,0
Precinct,601 - Montvale Elem School (CD 6),178,604,0,782,0
Precinct,602 - Shady Grove Fire Department (CD 5),163,595,0,758,0
Precinct,603 - Thaxton Baptist Church #1 (CD 5),44,154,1,199,0
Precinct,604 - Bedford Welcome Center (CD 5),305,794,1,1100,0
Precinct,701 - Goode Vol Rescue Squad (CD 5),190,1030,0,1220,0
Precinct,702 - Liberty High School (CD 5),175,497,0,672,0
Precinct,703 - Thaxton Baptist Church #2 (CD 5),90,404,0,494,0
Precinct,704 - Bedford Central Library (CD 5),416,760,0,1176,0
Precinct,Ab - Central Absentee Precinct (CD 5),238,530,0,768,0
Precinct,Ab - Central Absentee Precinct (CD 6),185,356,0,541,0
Precinct,Provisional (CD 5),2,6,0,8,0
Precinct,Provisional (CD 6),1,3,0,4,0
Locality,Bland County,378,1670,2,2050,0
Precinct,101 - Bastian,44,192,0,236,0
Precinct,102 - Ceres,41,231,1,273,0
Precinct,201 - Davis,15,62,0,77,0
Precinct,202 - Seddon,99,403,0,502,0
Precinct,301 - Hollybrook,30,191,1,222,0
Precinct,302 - Mechanicsburg,20,106,0,126,0
Precinct,401 - Rocky Gap,103,417,0,520,0
Precinct,Ab - Central Absentee Precinct,26,66,0,92,0
Precinct,Provisional,0,2,0,2,0
Locality,Botetourt County,3084,9329,13,12426,0
Precinct,101 - Daleville,388,926,0,1314,0
Precinct,102 - Greenfield,287,1131,0,1418,0
Precinct,201 - Blue Ridge,287,929,0,1216,0
Precinct,202 - Rainbow Forest,296,992,3,1291,0
Precinct,301 - Buchanan,231,772,3,1006,0
Precinct,302 - Mill Creek,249,779,1,1029,0
Precinct,403 - Eagle Rock,134,552,3,689,0
Precinct,406 - Fincastle,379,1059,1,1439,0
Precinct,501 - Troutville,167,514,0,681,0
Precinct,502 - Cloverdale,445,1230,1,1676,0
Precinct,Ab - Central Absentee Precinct,218,443,1,662,0
Precinct,Provisional,3,2,0,5,0
Locality,Bristol City,1206,3009,4,4219,0
Precinct,1 - First Ward,188,454,0,642,0
Precinct,2 - Second Ward,341,718,2,1061,0
Precinct,3 - Third Ward,229,328,0,557,0
Precinct,4 - Fourth Ward,357,1329,2,1688,0
Precinct,Ab - Central Absentee Precinct,89,178,0,267,0
Precinct,Provisional,2,2,0,4,0
Locality,Brunswick County,2709,2039,1,4749,0
Precinct,101 - Brodnax,119,111,0,230,0
Precinct,102 - Rock Store,152,207,0,359,0
Precinct,103 - Tillman,138,261,0,399,0
Precinct,201 - Dromgoole,77,76,0,153,0
Precinct,202 - Edgerton,269,123,1,393,0
Precinct,203 - Fitzhugh,246,116,0,362,0
Precinct,301 - Alberta,44,59,0,103,0
Precinct,302 - Danieltown,232,209,0,441,0
Precinct,303 - Elmore,100,103,0,203,0
Precinct,304 - Seymour,107,73,0,180,0
Precinct,401 - Sturgeon,399,273,0,672,0
Precinct,402 - King's Store,174,79,0,253,0
Precinct,501 - Totaro,532,190,0,722,0
Precinct,Ab - Central Absentee Precinct,117,158,0,275,0
Precinct,Provisional,3,1,0,4,0
Locality,Buchanan County,1183,3220,7,4410,0
Precinct,102 - Blackey,30,129,0,159,0
Precinct,103 - Hurley,52,289,1,342,0
Precinct,201 - Grassy,25,31,0,56,0
Precinct,202 - Bull,48,167,1,216,0
Precinct,203 - Rocklick,71,170,0,241,0
Precinct,301 - Slate,91,207,1,299,0
Precinct,302 - North Grundy,64,217,0,281,0
Precinct,403 - South Grundy,103,352,0,455,0
Precinct,404 - Oakwood,7,38,0,45,0
Precinct,501 - Prater,100,150,0,250,0
Precinct,502 - Fox,49,45,1,95,0
Precinct,503 - Vansant,67,207,1,275,0
Precinct,601 - Council,45,131,0,176,0
Precinct,602 - Garden,66,209,1,276,0
Precinct,603 - Hurricane,69,117,0,186,0
Precinct,701 - Whitewood,115,274,0,389,0
Precinct,702 - Contrary,58,228,0,286,0
Precinct,Ab - Central Absentee Precinct,123,259,1,383,0
Precinct,Provisional,0,0,0,0,0
Locality,Buckingham County,1880,2687,2,4569,0
Precinct,101 - New Canton,253,330,0,583,0
Precinct,102 - Georgia Creek,66,114,1,181,0
Precinct,201 - White Hall,175,221,0,396,0
Precinct,301 - Curdsville,165,281,0,446,0
Precinct,302 - New Store,76,248,0,324,0
Precinct,401 - Maysville,249,446,0,695,0
Precinct,501 - Wrights,75,227,0,302,0
Precinct,502 - Glenmore,219,204,0,423,0
Precinct,601 - Slate River,328,250,0,578,0
Precinct,701 - Gold Hill,190,238,1,429,0
Precinct,Ab - Central Absentee Precinct,83,128,0,211,0
Precinct,Provisional,1,0,0,1,0
Locality,Buena Vista City,485,1135,1,1621,0
Precinct,1 - First Ward,262,652,1,915,0
Precinct,2 - Second Ward,223,483,0,706,0
Precinct,Provisional,0,0,0,0,0
Locality,Campbell County,4070,13206,23,17299,0
Precinct,101 - Brookville,331,1155,0,1486,0
Precinct,102 - New London,285,1112,1,1398,0
Precinct,201 - Walker,243,785,1,1029,0
Precinct,202 - Bedford Springs,295,1181,1,1477,0
Precinct,301 - Evington,112,386,1,499,0
Precinct,302 - Otter River,99,365,0,464,0
Precinct,303 - Altavista,398,792,0,1190,0
Precinct,401 - Three Forks,151,782,2,935,0
Precinct,402 - Court House,321,1313,3,1637,0
Precinct,501 - Spring Hill,265,1087,5,1357,0
Precinct,502 - Yellow Branch,236,599,0,835,0
Precinct,601 - Kings,240,639,1,880,0
Precinct,602 - Concord,312,1014,1,1327,0
Precinct,701 - Brookneal,213,475,0,688,0
Precinct,702 - Gladys,263,660,1,924,0
Precinct,703 - Morris Church,109,335,1,445,0
Precinct,AB - Central Absentee Precinct,197,526,5,728,0
Precinct,Provisional,0,0,0,0,0
Locality,Caroline County,4070,4261,4,8335,0
Precinct,101 - Bowling Green,262,534,1,797,0
Precinct,102 - Sparta,218,355,0,573,0
Precinct,201 - North Madison,332,293,1,626,0
Precinct,202 - South Madison,360,391,0,751,0
Precinct,301 - Port Royal,130,195,1,326,0
Precinct,302 - Woodford,378,496,1,875,0
Precinct,401 - Dawn,699,417,0,1116,0
Precinct,402 - Carmel Church,242,151,0,393,0
Precinct,501 - West Mattaponi,458,271,0,729,0
Precinct,502 - Milford,236,315,0,551,0
Precinct,601 - Chilesburg,343,355,0,698,0
Precinct,602 - Lake,238,261,0,499,0
Precinct,Ab - Central Absentee Precinct,173,227,0,400,0
