,,Mark Lee Keam,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,,,
State House District,35,22596,1718,24314,0
Locality,Fairfax County,22596,1718,24314,0
Precinct,204 - Madison,302,28,330,0
Precinct,213 - Vienna #1,1617,123,1740,0
Precinct,214 - Vienna #2,1268,89,1357,0
Precinct,216 - Vienna #4,647,32,679,0
Precinct,218 - Vienna #6,912,54,966,0
Precinct,701 - Blake,1617,129,1746,0
Precinct,704 - Freedom Hill,871,62,933,0
Precinct,720 - Thoreau,1243,107,1350,0
Precinct,726 - Magarity,1274,76,1350,0
Precinct,727 - Oakton,918,104,1022,0
Precinct,729 - Nottoway,1378,94,1472,0
Precinct,730 - Penderbrook,1204,105,1309,0
Precinct,731 - Tysons,824,63,887,0
Precinct,732 - Oak Marr,1271,137,1408,0
Precinct,733 - Kilmer,1574,100,1674,0
Precinct,734 - Hunters Branch,801,71,872,0
Precinct,735 - Rotonda,464,25,489,0
Precinct,802 - Cedar Lake,406,28,434,0
Precinct,844 - Centerpointe,898,54,952,0
Precinct,Provisional,30,2,32,0
